Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
0	-11618.765110420401	-11495.554847820933	-123.21026259946764	-11495.554847820933	71.36380943597847	421.14218015508254	0.30766708715663293	0.21255306774578328	0.24249215092016307	0.2372876941774206	0.1047583561167234	2.4631782599504377	0.2099417514136809	0.1047583561167234	2.9074215249887536	0.2099417514136809	1.9875553724450719E-4	74.15915584320658	-97.2627417158509	0.8322331399742489	
1	-11614.443117651712	-11493.466008001269	-120.97710965044259	-11493.466008001269	59.027789136944776	362.8390626422267	0.3081961118160708	0.21205860842153954	0.24477182689867052	0.234973452863719	0.08533600841379806	2.5224446040131303	0.22871516537935832	0.08533600841379806	2.849453048400557	0.22871516537935832	1.9875553724450719E-4	48.300292466840645	-95.45836468925182	0.8322331399742489	
2	-11602.62595614752	-11492.48481842888	-110.14113771863929	-11492.48481842888	46.92541348072799	262.1952987178936	0.3103849239564537	0.19372432036990733	0.2467088701256621	0.24918188554797682	0.07771364730955391	2.4811524110149326	0.2661553308516917	0.07771364730955391	2.8311096326625758	0.2661553308516917	3.2253363489395085E-4	25.951471170156438	-87.63525010531323	0.8322331399742489	
3	-11614.543360213956	-11492.197767024578	-122.34559318937826	-11492.197767024578	70.52760945662956	412.2815314434542	0.3085516411673703	0.21221944613773408	0.25197478965175935	0.2272541230431362	0.058325051298798766	2.423600570302271	0.30593789526729376	0.058325051298798766	2.847873536565543	0.30593789526729376	1.8050240740646628E-4	54.623262974128686	-96.2100476411139	0.7374185817667761	
4	-11613.320778830512	-11491.061639251966	-122.25913957854493	-11491.061639251966	64.67172782221502	373.2531039598931	0.30379021294348774	0.20093258415539236	0.25404138071076193	0.24123582219035788	0.07506970274215768	2.298660562662267	0.24330148717496472	0.07506970274215768	3.0645970575034873	0.24330148717496472	1.8050240740646628E-4	77.38505877597328	-95.77526016119897	0.8322331399742489	
5	-11612.545242333817	-11490.637350782197	-121.90789155161946	-11490.637350782197	61.32767435426207	370.0964061008373	0.30379021294348774	0.20093258415539236	0.2562849669820345	0.2389922359190853	0.11708772713162796	2.283523416832235	0.2395006540255784	0.11708772713162796	3.0032998208533512	0.2395006540255784	1.8050240740646628E-4	64.11232236421188	-95.61216927514192	0.8322331399742489	
6	-11600.860265266563	-11490.346334162026	-110.51393110453606	-11490.346334162026	48.24248310129846	263.86955828942627	0.2993064755784585	0.19886759572100934	0.26149710624294026	0.24032882245759177	0.07771364730955391	2.2441778730228576	0.34901986605736834	0.07771364730955391	2.9023551002432972	0.34901986605736834	2.76682717912127E-4	35.7769706355635	-86.94570720136859	0.8322331399742489	
7	-11611.688016625756	-11490.064711072197	-121.62330555355973	-11490.064711072197	67.34200090398724	382.60269572501187	0.2895690319821538	0.2070174096228779	0.2608122579426555	0.24260130045231273	0.10103364598498873	2.3647773635733573	0.29264090394556064	0.10103364598498873	2.847873536565543	0.29264090394556064	1.8050240740646628E-4	69.29731321104654	-95.24981372406401	0.7374185817667761	
8	-11611.688016625756	-11490.064711072197	-121.62330555355973	-11490.064711072197	67.34200090398724	382.60269572501187	0.2895690319821538	0.2070174096228779	0.2608122579426555	0.24260130045231273	0.10103364598498873	2.3647773635733573	0.29264090394556064	0.10103364598498873	2.847873536565543	0.29264090394556064	1.8050240740646628E-4	69.29731321104654	-95.24981372406401	0.7374185817667761	
9	-11615.03389718784	-11489.921158484503	-125.11273870333511	-11489.921158484503	58.90026516477019	358.78879839247594	0.30895610369558446	0.19591605686596836	0.2442824488594483	0.2508453905789988	0.08533600841379806	2.5857529038922746	0.19706101543978624	0.08533600841379806	2.849453048400557	0.19706101543978624	1.9281034964090642E-4	110.052864681379	-98.61544767694673	0.8322331399742489	
