Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	5101.0	0.7695226591282847	2.02764472959484	552.0	2.97316990908935	5.411857851226969	5.56465208562814	6.670305457588498	12.947806685991381	13.890955660614708	15.502932226404937	18.715739026092734	350.0	29.80476199362348	32.090550513553396	72.55145665985778	72.57864510453055	88.01134368275844	92.14740854571286	92.29467454140578	
1	5156.0	0.8583161980361353	2.373219844468821	2.7005300670635677	3.7072659586824557	460.0	5.23773371271777	6.029445583060564	11.558847558302148	13.144016570173434	14.268493120385813	16.75662223658132	22.498752759917664	24.588516856311287	27.631077627454815	1525.0	988.0	74.63110663411318	770.0	80.8735471148441	
2	5163.0	1.7243519613758451	734.0	4.455247920152928	600.0	6.507241410913551	6.831987712597055	12.005668642960373	14.268430510454252	14.575863382742028	14.84562171624718	15.468813956999213	20.720823599463102	25.06152146192676	27.634469149558882	1531.0	72.97032135887702	84.00494593390653	774.0	84.87865147068365	
3	5186.0	2.9370422931778677	2.952375104213928	578.0	4.611457274266797	5.135142861798002	5.977896675426024	6.621407422116405	11.699188548775751	12.05066750019995	14.729835894862973	16.73778593762374	17.657979300770407	22.09937961405933	25.085468721032413	1540.0	995.0	81.26509115791997	88.65639133836669	90.94608261610855	
4	5188.0	445.0	2.422461700416477	2.5673840256676925	5.226226130731298	464.0	5.75210408658122	7.9798625832142065	477.0	13.748680702918683	14.876243022458787	307.0	20.686255717840524	21.445748224022445	22.284946034332528	55.1970131231694	996.0	1151.0	64.99121671389045	66.91877054134467	
5	5190.0	2.162643948375802	3.125786964877264	3.401655081947709	4.777409898218735	5.062466784076165	6.04081905880922	7.026373429459767	11.812217638242828	14.035692768662855	14.596663786528254	17.316399004406748	18.07027365830333	20.79812220384312	35.5192384915585	1543.0	72.99504337499516	1152.0	77.86593464722951	79.45550772338424	
6	5217.0	0.7784321000042809	2.2738571993837837	2.325630834852788	5.025143874575193	5.939188125400193	6.292145899497797	7.51970866386732	13.55424682823648	14.391647038456647	15.176727573274817	19.727853114218874	21.278159110062184	24.594738925638595	24.59994096209971	57.75900579328094	1001.0	1162.0	72.69619181411066	73.64174872783019	
7	5218.0	448.0	2.382356774508466	2.5223905897728827	4.456288589149892	4.771535266760623	5.424529796540881	6.2560058953708335	481.0	13.412304818893944	14.538707169449914	18.90609305084981	21.346697199019943	22.93132266954317	23.18366391969112	1559.0	65.2878499353012	69.08151119984555	808.0	72.49032957118925	
8	5234.0	2.237388911185107	752.0	590.0	5.249690072305583	469.0	5.518985355306924	6.431010071946744	10.602075477589523	13.51035757698672	14.420375461883673	16.137504328462242	17.177118352530073	23.92069364171578	33.417247377575855	1569.0	68.60384378372547	1167.0	77.59070348374298	77.95292927444645	
9	5240.0	454.0	2.5651176157967726	2.9916336617423553	4.580431168826024	5.172292936368244	6.246983751657041	6.266010458278856	483.0	14.90267191550491	16.89748523078093	18.575103472009488	19.076146441650394	20.026387411660735	25.490358968965218	1570.0	56.73215119048672	1171.0	63.53130372318112	65.57886673756225	
10	5242.0	2.435475267566872	2.983417391773159	3.4718459290226775	4.348023778649505	5.3333223282366475	5.58034712404735	6.30556104729456	12.598774800610713	14.192484690128204	14.689400947957537	16.425148066201004	17.249642879929816	23.60823347185312	25.365662534737744	1572.0	64.51772419427277	1173.0	816.0	72.43286927087391	
11	5243.0	0.1908286412219269	2.3358985128592025	2.732102355466438	607.0	5.976541241322195	6.055661751165175	8.152981210683414	10.081136136972447	11.94020085777592	13.229963495471559	14.162242550638226	16.418989887459574	18.980309705529635	22.15128918531947	57.2198692765403	1010.0	68.43222821152332	817.0	70.48039578917218	
12	5252.0	1.5548809226231697	3.03970996095606	3.872489944645096	5.99784966249733	6.387015437494341	7.307637987453745	8.906079034329508	11.192932539090748	11.218894515766607	12.409689853546965	14.896768431025919	15.509316379406165	25.069752001827077	26.96680425160597	65.19567496502165	1012.0	76.24685793994152	821.0	77.18287187761729	
13	5257.0	3.378787585223101	4.420810031879967	5.069922970749204	5.34284676488226	473.0	5.9174993632218715	7.025798383798971	13.594815371536917	14.009880529464773	14.19923917268813	16.228121154585686	17.48561799428589	18.247720561497793	20.383346996467658	1579.0	59.7820878865701	65.07455754194955	824.0	65.25625919334891	
14	5259.0	3.0403661263014072	3.158981463805958	4.518328113805161	5.416409123541214	5.420511329560426	7.726652820843697	9.07116207306386	12.361250923852587	12.475353850709517	14.223551337889376	17.326671261697648	18.552909553285737	18.967631850017696	25.41269408782386	1580.0	58.35733917589697	61.89008780696853	825.0	62.07276735124529	
15	5264.0	460.0	2.6613380806962113	2.930913472356437	3.0511601858928543	4.389058963690772	5.7597140340709885	6.439854701332955	10.702844511137975	12.45752337887	14.0613502185493	14.627167811192926	17.212225927382036	17.26515928360611	24.994154022125386	51.20609961338104	1014.0	60.439703268822555	826.0	64.70282496114193	
16	5268.0	2.0914480846465864	3.396020666857595	3.55023244927213	4.967959091118885	5.9084933855913135	6.441944103108298	6.566366773357416	11.390561727214646	14.63073844615063	16.324591335900877	17.923645705067983	22.965506478653026	27.89989308342932	29.166657234972234	1584.0	74.02555623645581	1184.0	87.72489430163589	90.61835097166966	
17	5270.0	462.0	2.420389239697343	2.7343795957830963	3.4750398384325507	4.155117467407862	4.74176745497342	5.699555180321099	9.544805549385757	12.879257979798034	13.570109022208733	14.373133647729041	15.886946824440948	17.04849023275385	26.062918795916943	55.83722617178047	1017.0	1185.0	66.99189415736691	67.08158640140127	
