Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-6475.186669237955	-6348.38669124827	-126.79997798968574	-6348.38669124827	106.50082806843395	401.995806889757	0.18374794060540323	0.2720722161268893	0.2175236202477539	0.2602214743186159	0.2501826893067404	0.3050919929191827	2.5286725780770674	0.3050919929191827	0.16623542900375038	2.5286725780770674	0.16623542900375038	0.0	2.4836118311667113E-4	-83.70730475522303	8.632715418224722	22.591509541702646	26.641850493010146	82.41759001333853	30.8387846782111	4.0	6.0	2.0	6.0	1.0	
1	-6471.916826244028	-6348.235331831298	-123.68149441273023	-6348.235331831298	85.14838708913284	317.18827879450447	0.43882929600867643	0.26617293749399573	0.18605278119060253	0.27583147254022344	0.2719428087751779	0.4645990652478946	2.394327117273851	0.4645990652478946	0.14107381747825504	2.394327117273851	0.14107381747825504	0.0	3.095926075856743E-4	-77.58863953953204	7.742806341698723	31.30118459197106	96.21584830600591	76.74869576529761	141.93923418378418	8.0	5.0	1.0	3.0	2.0	
2	-6455.03221874078	-6347.76037312383	-107.27184561695034	-6347.76037312383	63.03001879710814	227.27449813810182	0.7048175641751568	0.2588956514308174	0.2074176825381423	0.2772314995148064	0.25645516651623357	0.30947294982354734	2.4605078922965054	0.30947294982354734	0.2300191578799479	2.4605078922965054	0.2300191578799479	0.0	4.288000188059637E-4	-69.78489607653482	3.161668249428649	4.839488344787376	12.959732440343275	49.0041542374846	26.787577280528573	4.0	2.0	1.0	7.0	5.0	
3	-6463.386133384412	-6347.191774484029	-116.19435890038197	-6347.191774484029	89.41433278103752	331.39266137995065	0.3062861457111235	0.27379664203217086	0.21271884313511985	0.2735374460770733	0.23994706875563554	0.4031956085364186	2.4474757455109155	0.4031956085364186	0.14932864595266623	2.4474757455109155	0.14932864595266623	0.0	3.3925404918925574E-4	-78.1307455107804	5.05810971630655	7.6059869614588305	16.818190020598035	26.379561381436652	55.37903829821754	1.0	3.0	7.0	2.0	6.0	
4	-6454.544916303187	-6346.455188088367	-108.08972821481994	-6346.455188088367	82.4614295924885	283.5583372189395	0.12868329560941025	0.2791743636079794	0.20806213716787633	0.2766560235388963	0.23610747568524754	0.4131673807216868	2.3954541350954055	0.4131673807216868	0.19137848418290812	2.3954541350954055	0.19137848418290812	0.0	3.3925404918925574E-4	-69.75847329587748	1.7633568139599065	4.330574464625328	20.57166943865957	45.09469888568696	16.362468624126652	1.0	6.0	1.0	8.0	3.0	
5	-6454.544916303187	-6346.455188088367	-108.08972821481994	-6346.455188088367	82.4614295924885	283.5583372189395	0.12868329560941025	0.2791743636079794	0.20806213716787633	0.2766560235388963	0.23610747568524754	0.4131673807216868	2.3954541350954055	0.4131673807216868	0.19137848418290812	2.3954541350954055	0.19137848418290812	0.0	3.3925404918925574E-4	-69.75847329587748	1.7633568139599065	4.330574464625328	20.57166943865957	45.09469888568696	16.362468624126652	1.0	6.0	1.0	8.0	3.0	
6	-6457.9263255544965	-6346.200726601099	-111.72559895339799	-6346.200726601099	73.83199311949399	274.1554781993637	0.4015939767132709	0.2779233710264835	0.1884536366586492	0.27888452499249267	0.2547384673223742	0.30467604058202563	2.5521306472714675	0.30467604058202563	0.1431933121465079	2.5521306472714675	0.1431933121465079	0.0	4.201285202527934E-4	-74.23669516794911	5.739306704735411	3.282257366225723	9.733839902707787	39.57789699465514	33.23264088276098	3.0	4.0	1.0	2.0	9.0	
7	-6465.487095012303	-6345.423851003818	-120.06324400848533	-6345.423851003818	76.92150590027691	293.0314529238	0.6050142157470932	0.259824397365983	0.18470072838734794	0.2835320654714908	0.2719428087751779	0.33067683733151004	2.519418051679052	0.33067683733151004	0.14990511098943868	2.519418051679052	0.14990511098943868	0.0	2.9722530976339996E-4	-78.58862886462873	13.196948838219576	11.504810196006066	28.45109631457815	70.03097056438025	15.456747504961378	1.0	4.0	8.0	3.0	3.0	
8	-6465.487095012303	-6345.423851003818	-120.06324400848533	-6345.423851003818	76.92150590027691	293.0314529238	0.6050142157470932	0.259824397365983	0.18470072838734794	0.2835320654714908	0.2719428087751779	0.33067683733151004	2.519418051679052	0.33067683733151004	0.14990511098943868	2.519418051679052	0.14990511098943868	0.0	2.9722530976339996E-4	-78.58862886462873	13.196948838219576	11.504810196006066	28.45109631457815	70.03097056438025	15.456747504961378	1.0	4.0	8.0	3.0	3.0	
9	-6458.797603550478	-6345.188783722727	-113.60881982775072	-6345.188783722727	82.01742312321231	278.646850430063	0.20574066646036568	0.2782181940158536	0.19310702967645665	0.2787449175831493	0.24992985872454002	0.4672653251329383	2.3954541350954055	0.4672653251329383	0.13728053977165666	2.3954541350954055	0.13728053977165666	0.0	3.3925404918925574E-4	-74.24519737671224	2.8280665510741008	10.153313375661853	30.4582418921902	36.72014956497038	34.40559552332157	2.0	5.0	5.0	4.0	3.0	
