Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate	
0	-3543.6297332220556	-3445.8601668698557	-97.76956635219977	-3445.8601668698557	55.75899339974289	328.93237530575414	3.1219034357046375E-4	0.026896922953784874	2.2984463019997015	0.6746567750465142	0.026896922953784874	2.2984463019997015	0.6746567750465142	0.601595071684454	69.88024019983506	-93.52278342962106	1.0	
1	-3543.2441997092355	-3441.066773166226	-102.17742654300929	-3441.066773166226	91.56156113145481	468.25602109475875	2.2510197436681776E-4	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.6448290588346599	60.08063681043702	-98.0817389362348	1.0	
2	-3538.873685093012	-3440.5225521557845	-98.35113293722756	-3440.5225521557845	80.59993640047777	399.5002788460609	2.2510197436681776E-4	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.6448290588346599	40.06181928046986	-94.66070919413016	1.0	
3	-3538.873685093012	-3440.5225521557845	-98.35113293722756	-3440.5225521557845	80.59993640047777	399.5002788460609	2.2510197436681776E-4	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.07939341980124512	2.2072997741325855	0.7133068060661694	0.6448290588346599	40.06181928046986	-94.66070919413016	1.0	
4	-3543.3789127743917	-3440.490892898094	-102.88801987629786	-3440.490892898094	92.9763068722834	460.74931864960854	2.271316044363429E-4	0.1409265784836718	2.2001964588240748	0.6588769626922533	0.1409265784836718	2.2001964588240748	0.6588769626922533	0.6448290588346599	91.58827053320344	-98.37071666376455	1.0	
5	-3538.5659835042925	-3440.32197722752	-98.24400627677223	-3440.32197722752	88.22344128849241	400.2075784062002	2.0085753871849167E-4	0.2254693666080183	2.217315759279255	0.5572148741127264	0.2254693666080183	2.217315759279255	0.5572148741127264	0.6448290588346599	57.01909441325442	-94.20062007532798	1.0	
6	-3548.350484774435	-3440.0905834394835	-108.25990133495131	-3440.0905834394835	122.66931296925537	575.303010561151	1.6284666039346525E-4	0.0556242765395405	2.1535057304858514	0.7908699929746078	0.0556242765395405	2.1535057304858514	0.7908699929746078	0.6448290588346599	115.07327526700264	-103.51433223326384	1.0	
7	-3541.2792513499426	-3439.838963143055	-101.44028820688767	-3439.838963143055	117.13036026506613	464.970611977614	2.271316044363429E-4	0.15275649306535094	2.2228589433067767	0.6243845636278722	0.15275649306535094	2.2228589433067767	0.6243845636278722	0.6448290588346599	77.13589561716809	-97.0947194624564	1.0	
8	-3544.3087806498456	-3439.4709446163547	-104.83783603349103	-3439.4709446163547	116.59433980418628	547.5396722930498	2.271316044363429E-4	0.15275649306535094	2.188366544242396	0.6588769626922533	0.15275649306535094	2.188366544242396	0.6588769626922533	0.6448290588346599	70.64953033491399	-100.58010457215451	1.0	
9	-3552.2610062404196	-3438.9406596153	-113.32034662511998	-3438.9406596153	164.74453626799976	753.8664794461035	1.6284666039346525E-4	0.06644402960932022	2.142685977416072	0.7908699929746078	0.06644402960932022	2.142685977416072	0.7908699929746078	0.6448290588346599	154.29832694572283	-108.281458708676	1.0	
10	-3541.5045661092604	-3438.843394289175	-102.66117182008539	-3438.843394289175	74.53444965841345	404.20634598532837	3.334563626144002E-4	0.0609481060441529	2.2871060386020536	0.651945855353794	0.0609481060441529	2.2871060386020536	0.651945855353794	0.7222778572704517	90.9124696052309	-98.1512746489347	1.0	
