Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	fastUcldMean	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-11542.925495929336	-11494.113685809707	-48.81181011962833	-11494.113685809707	68.36612085616999	409.15479262014463	0.2986793865740994	0.20341618369804268	0.25345303994651364	0.24445138978134448	0.11437762821124864	2.7739563449599656	0.3177736543375976	0.11437762821124864	2.3617410899423414	0.3177736543375976	0.801	1.5670393120591016E-4	0.06215766044854668	1.6034764656751998E-4	9.279313465910084E-11	0.06135976031702129	-82.72257355836337	15.004305528788526	69.91760914384399	197.92422900007426	6.722190880797051	6.292239707123347	8.0	6.0	1.0	3.0	1.0	
1	-11584.297855621797	-11491.312721611965	-92.98513400983153	-11491.312721611965	87.76894171782311	515.1271061779821	0.3070927439346384	0.1985835131737569	0.2606775571069588	0.23364618578464616	0.10922723915650796	2.522945420566596	0.45249906207804713	0.10922723915650796	2.3536019769642937	0.45249906207804713	0.801	1.3719997190441324E-4	0.11707885923270749	1.4322940446831567E-4	2.2053231872458793E-10	0.10501641240480285	-95.98936410622088	87.76822593511908	28.09723359995541	232.79607449687265	117.46301482416031	63.24509023416488	2.0	5.0	4.0	4.0	4.0	
2	-11528.00985821986	-11491.131194675896	-36.878663543965	-11491.131194675896	62.603961455624884	359.8729049295642	0.30082115146340527	0.2045694564599074	0.24853213635562038	0.24607725572106715	0.21141462826829058	2.3662306219984313	0.3264931554856762	0.21141462826829058	2.5579538104936352	0.3264931554856762	0.801	2.011157822285553E-4	0.05255442298861076	2.0173237059793105E-4	1.1157859077147964E-10	0.052296443499061894	-79.52617437184907	7.923478220807612	3.87830899235375	13.724335791417639	68.28230348303542	15.168003277054106	1.0	5.0	1.0	10.0	2.0	
3	-11576.162905499004	-11490.952397118703	-85.21050838030114	-11490.952397118703	54.09397581510757	308.87640084884663	0.30192739682949726	0.2045694564599074	0.24853213635562038	0.24497101035497515	0.16499794238705673	2.4388719353840056	0.3264931554856762	0.16499794238705673	2.5781458688705285	0.3264931554856762	0.801	2.2279696398736277E-4	0.13405241213976374	2.4289206253951196E-4	1.146161687321764E-9	0.14633270178055138	-87.04129819631031	10.589304445758646	9.616638358972269	18.69770792224992	39.921130922864315	61.531465996237955	1.0	1.0	4.0	8.0	5.0	
4	-11594.29472694068	-11490.772631602493	-103.52209533818761	-11490.772631602493	67.25225815983667	412.47677532306335	0.29160897547834586	0.2079186544862919	0.2609434744097432	0.2395288956256192	0.07057583846766884	2.637691763250802	0.3909205635791272	0.07057583846766884	2.4393154326556057	0.3909205635791272	0.801	1.52036152603181E-4	0.30360823729040753	1.5526549513916388E-4	1.1183245955511494E-9	0.2331027348201704	-84.83856529633368	10.214324783960256	51.95704870522949	102.3264360476997	150.0140901620855	6.967594026432143	3.0	5.0	2.0	5.0	4.0	
5	-11534.42672876392	-11490.555633081147	-43.87109568277192	-11490.555633081147	87.96473845833103	569.5797442300062	0.3082856899242539	0.1985835131737569	0.2606775571069588	0.23245323979503066	0.108406285018257	2.4998420619265893	0.45249906207804713	0.108406285018257	2.3783472438808024	0.45249906207804713	0.801	1.1399681436693086E-4	0.038023886095823356	1.1532147719942589E-4	1.9689273019680296E-11	0.03882485239589781	-91.51359054801006	14.598819958215152	91.28933142888307	117.2504195483451	166.9262416578611	3.300975247318033	7.0	1.0	6.0	3.0	2.0	
6	-11555.323487016676	-11489.87608488573	-65.44740213094683	-11489.87608488573	81.1471640517198	503.9342463838596	0.3070927439346384	0.1985835131737569	0.2606775571069588	0.23364618578464616	0.12426340967410557	2.4681278126148922	0.45046349912570394	0.12426340967410557	2.382418369785489	0.45046349912570394	0.801	1.5202562090828602E-4	0.06616209121332707	1.5210469796074648E-4	8.469497110877726E-11	0.0600709785498765	-95.92955363229291	22.25883226569581	20.01274169998316	147.15656342114147	97.62970892387635	35.266891525291705	2.0	2.0	8.0	4.0	3.0	
7	-11557.009151629625	-11489.610724073727	-67.39842755589774	-11489.610724073727	80.26705970941282	510.5546579679928	0.3021642463356215	0.20280761529312763	0.24718904148340412	0.24783909688784692	0.23432814111094932	2.3662306219984313	0.373835024016038	0.23432814111094932	2.417443047747594	0.373835024016038	0.801	1.2944607780788572E-4	0.09281058933197053	1.3375695864798438E-4	1.3071397436937633E-10	0.08886946298281545	-86.07515682860605	19.90594089483626	74.15468534273593	81.6770266549598	117.09113506663468	0.43222671056594203	5.0	1.0	3.0	8.0	2.0	
8	-11489.869759564323	-11489.52618108692	-0.34357847740219194	-11489.52618108692	98.33343790050719	564.6146730197619	0.3070927439346384	0.1985835131737569	0.2520412276203667	0.24228251527123826	0.108406285018257	2.524587328843098	0.39929183495804227	0.108406285018257	2.4600164312043034	0.39929183495804227	0.801	1.238941856242511E-4	0.012942359242377143	1.2383243122437578E-4	2.228092768407235E-12	0.012076548052582837	-96.31687410510837	14.945306836968616	17.16076188623769	54.10126229066044	179.1611981821607	9.367866197129818	4.0	3.0	4.0	5.0	3.0	
9	-11547.586790139016	-11489.297019348192	-58.28977079082412	-11489.297019348192	89.2018308144505	527.2888826214235	0.3070927439346384	0.1968256718983137	0.262435398382402	0.23364618578464616	0.09075511534778281	2.4998420619265893	0.46811466879617813	0.09075511534778281	2.382418369785489	0.46811466879617813	0.801	1.5144693378166588E-4	0.05942885378031473	1.531178371851272E-4	8.227643966989991E-11	0.06004709455901598	-92.41511847737235	10.359752124285043	49.30888379497374	147.16213017809062	11.778016259283758	31.015369069766354	5.0	2.0	8.0	1.0	3.0	
