Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	5365.0	4.227654097354332	421.0	6.517807994125064	727.0	7.5670622467895186	7.92254140283211	8.324118331568172	14.769958942438365	15.42235250583903	19.278879988213788	19.31544910414526	29.054347862852495	34.881126091119384	35.60338923282363	693.0	498.0	98.38047073102335	99.36629382573031	103.54249364549719	
1	5454.0	2.2351417170330734	2.469693933457492	2.5251094310142292	4.185441834409119	4.516379503175628	5.63872615911211	7.676649567654692	8.817562539482743	11.8592215535691	12.16188797795867	14.094313523788664	17.689426892679094	20.559118464136404	21.32460505448924	52.40512183751659	516.0	534.0	64.48664119879943	69.85749182839153	
2	5465.0	2.3789960231003278	2.7994591351969973	3.6734284179586467	5.681401995477827	5.749877719679247	6.1238132213699	6.847266928761385	11.374601142918607	14.049625380442635	14.176392293726138	16.946193345291398	20.210351731184637	20.719772052737348	24.771282885896916	739.0	519.0	72.52001946223646	73.67658070842697	76.40865932058841	
3	5473.0	1.9145054635959724	2.4747938147494324	3.9671077534528223	4.902977445948842	5.2715778683100964	7.1291931136630495	7.390770483169156	12.053362300811358	605.0	15.110144250722769	17.88652310189832	18.27164683222977	20.1165547920996	23.460893650961353	53.45375308872382	55.232151607060516	59.10051481438013	60.39197837327194	68.14121247913047	
4	5482.0	2.189158989309597	2.2815939523962356	2.3420160235361323	4.13698156171457	4.357797625820865	5.699795892414109	5.965002101466368	8.611587898726171	11.86263736002794	13.491655462352576	14.40964317697859	14.871086105708876	17.662892803070747	21.58232019987374	44.05892791612123	523.0	539.0	51.95383247727129	54.0332425749587	
5	5507.0	1.5820308715424574	429.0	3.9701832113964173	741.0	5.648794504142671	6.06765876276431	8.066039666622544	662.0	13.654293204020547	14.63202575287825	17.399991309848204	23.122350718784197	27.9376587842565	31.011609139345495	63.530925756426264	66.40228226862729	544.0	1104.0	78.88506975545445	
6	5512.0	1.9589171019568	2.157728395673473	2.917049347742932	4.610330292927557	5.1622856599107365	622.0	5.888167892639061	9.009270771337526	11.092357337552272	14.024180814319323	14.262627144058094	313.0	21.167345798980598	23.717782293596194	57.08431809581193	59.13422598122104	66.92893331926716	1106.0	73.4671447118691	
7	5523.0	4.516690786171253	4.7387726310675475	5.256315692915692	6.190096573460181	6.195333632298087	6.788738477861145	8.317415457400301	13.842758010713851	14.35513058389877	17.88667197835065	21.776163966294106	23.011294797035987	27.003684455724255	34.1866949414663	770.0	81.78202523035169	96.66840543428954	1109.0	100.82830008342398	
8	5535.0	1.5482984737171677	1.9627836015656186	3.5236960698335054	4.5439990260083505	4.682294062523681	8.359926215909539	9.062225062601556	13.596022694887267	14.145469938705233	16.491124728646426	20.002810748827486	20.221994227661796	26.912143340238686	33.20417852967067	781.0	552.0	94.80936655918762	96.52651525346336	99.5739103449225	
9	5543.0	3.2020328439737966	3.350128443471448	4.813348732481643	5.713317964366297	5.841645956269446	7.213597757343308	9.281925703219542	11.562170147974399	15.645259856038365	17.299308215478305	19.737030015302253	29.540070924566606	34.38682146152084	40.90871400163124	787.0	558.0	140.02408433828873	143.08137239101444	150.12967795754236	
