Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
0	-6406.812735148963	-6344.749915310274	-62.06281983868858	-6344.749915310274	229.36872035485936	779.5477849076799	0.334837847251891	0.2826742765681647	0.18946323210344215	0.2734544100717243	0.25440808125666897	0.46485937657665743	2.269472182970208	0.46485937657665743	0.2656684404531352	2.269472182970208	0.2656684404531352	0.0	0.08858837085305228	1.2761064014422637E-4	1.2373513146669765E-10	0.0863796203582784	1.2742901565483737E-4	86.07545916368926	-102.71073978382982	
1	-6369.973613261604	-6343.98519761381	-25.98841564779446	-6343.98519761381	156.0620367143386	594.8393560664275	0.18479167170573932	0.28992614455237814	0.1774576605843496	0.28114728527658467	0.25146890958668766	0.5006575562895116	2.433218128850299	0.5006575562895116	0.06612431486018994	2.433218128850299	0.06612431486018994	0.0	0.04262920547694293	1.6194064729214917E-4	3.159784362840926E-11	0.03475260092425933	1.625838984539678E-4	96.78868932220709	-100.3612485033739	
2	-6477.057347270232	-6342.328647072852	-134.72870019738025	-6342.328647072852	443.50412273177074	1816.0594303555401	0.2497643772836733	0.27337819703633576	0.20783375813080257	0.2870952049022835	0.23169283993057813	0.468292308392159	2.3491627895746072	0.468292308392159	0.1825449020332342	2.3491627895746072	0.1825449020332342	0.0	0.39918859374790583	5.866445651519257E-5	6.54490180773771E-10	0.3924661443690692	6.537934123111502E-5	265.25903567143484	-122.35247044705193	
3	-6364.366015687362	-6341.920216709853	-22.445798977508936	-6341.920216709853	230.04474004739092	794.5539363929248	0.3667018149134289	0.28994341122155204	0.17572224973716247	0.2805930071577261	0.2537413318835594	0.48069142321996994	2.338331034322395	0.48069142321996994	0.1809775424576357	2.338331034322395	0.1809775424576357	0.0	0.026163093224413392	1.1619769699828713E-4	1.2135645483661685E-11	0.029637056157144973	1.1741813218613001E-4	115.82995481081932	-104.19984870134265	
4	-6371.712761152057	-6340.717329967838	-30.995431184218962	-6340.717329967838	202.2212016445395	735.088803230482	0.49231758794036296	0.2797959589779096	0.19322464165221723	0.2790396964980265	0.24793970287184663	0.30349199743411115	2.486235097184915	0.30349199743411115	0.21027290538097415	2.486235097184915	0.21027290538097415	0.0	0.03767333171543159	1.25469172838198E-4	2.3861273413585557E-11	0.03896844379056139	1.25840252796327E-4	100.27446677589411	-102.72104353785018	
5	-6456.192837480395	-6340.650469151665	-115.54236832872974	-6340.650469151665	196.07294626279707	702.2621732615575	0.49231758794036296	0.27521144670706155	0.20364000312662844	0.27647314899000763	0.24467540117630235	0.2875437538563599	2.6405602052045802	0.2875437538563599	0.07189604093905994	2.6405602052045802	0.07189604093905994	0.0	0.5147353022712813	1.41646404421975E-4	2.564654093697966E-9	0.35904991138108044	1.455609889059077E-4	66.2784740604031	-100.69209678351986	
6	-6415.525645945592	-6340.170922397853	-75.35472354773907	-6340.170922397853	311.54045619675344	1278.00622059457	0.14113483925517192	0.2667573662661343	0.20783375813080257	0.293716035672485	0.23169283993057813	0.3781281402922845	2.439326957674482	0.3781281402922845	0.1825449020332342	2.439326957674482	0.1825449020332342	0.0	0.10022668262414905	7.670530819546248E-5	5.009481641643751E-11	0.09090804042909183	7.780308928100329E-5	147.6517767452041	-114.92947531064695	
7	-6394.059113856686	-6339.187197557797	-54.87191629888896	-6339.187197557797	442.6734726485147	1666.710472327884	0.5393712034862382	0.29279312813696684	0.18995397692163316	0.2590512872713235	0.2582016076700766	0.37198080348245094	2.540586780369474	0.37198080348245094	0.08743241614807504	2.540586780369474	0.08743241614807504	0.0	0.041844760484647386	6.191365667098872E-5	7.345314340790291E-12	0.044343943981746306	6.088958592650568E-5	286.12974213736913	-120.55074258495208	
8	-6456.6416399869195	-6338.062898928319	-118.57874105860104	-6338.062898928319	175.86780226156867	670.8532341130285	0.3990075746778617	0.2802079745046351	0.18477561515524482	0.28528650751246315	0.24972990282765697	0.35360543862338534	2.4850203192018263	0.35360543862338534	0.1613742421747889	2.4850203192018263	0.1613742421747889	0.0	0.30672333373406024	1.4095489008067753E-4	1.8834488849496574E-9	0.32415870537220853	1.2394909975918026E-4	68.29140362976636	-101.76107159404995	
9	-6450.516611559761	-6338.02257556155	-112.49403599821073	-6338.02257556155	330.774213910476	1237.2623527969797	0.2497643772836733	0.2733675753904423	0.21954248132014537	0.27539710335883416	0.23169283993057813	0.468292308392159	2.376229303794897	0.468292308392159	0.15547838781294465	2.376229303794897	0.15547838781294465	0.0	0.27119067099442307	8.765519718449272E-5	3.2768633984687446E-10	0.21306564107651846	8.099293742098398E-5	208.18749577310487	-114.61304594730098	
10	-6363.260036305668	-6337.629321620158	-25.63071468550925	-6337.629321620158	206.17479313563774	799.7949762491227	0.4236990358254822	0.27245298013463193	0.1926443811727438	0.27861161524837763	0.25629102344424665	0.4849870057362256	2.3998195372324873	0.4849870057362256	0.11519345703128696	2.3998195372324873	0.11519345703128696	0.0	0.033447434867376565	1.2230156327772062E-4	1.3624102281758826E-11	0.030345090988879126	1.2196425122917234E-4	72.53499682289092	-107.00103106141168	
11	-6398.885130502953	-6337.62445423452	-61.260676268433066	-6337.62445423452	192.97081897748322	797.1877218914366	0.4193935452415177	0.27245298013463193	0.18993466242027174	0.27862656664552254	0.2589857907995738	0.5321573112187826	2.3823383324837435	0.5321573112187826	0.08550435629747366	2.3823383324837435	0.08550435629747366	0.0	0.07380152996696857	1.3551387926122912E-4	1.0258251516841114E-10	0.07463230385335445	1.361947249206648E-4	135.47853859679864	-107.88675176719913	
12	-6456.072195321758	-6337.375735649876	-118.69645967188198	-6337.375735649876	217.87462963190478	767.514222219402	0.49231758794036296	0.27521144670706155	0.20364000312662844	0.27647314899000763	0.24467540117630235	0.44186886187602537	2.486235097184915	0.44186886187602537	0.07189604093905994	2.486235097184915	0.07189604093905994	0.0	0.480630824676271	1.0373991726296108E-4	1.2742069491903616E-9	0.34523870006692847	1.0179837048189728E-4	65.50260728113997	-103.78749823410175	
13	-6333.423572066684	-6337.086301896943	3.66272983025899	-6337.086301896943	156.6357807228697	615.0891104334066	0.18479167170573932	0.28992614455237814	0.17559979183285784	0.28114728527658467	0.2533267783381794	0.5006575562895116	2.433218128850299	0.5006575562895116	0.06612431486018994	2.433218128850299	0.06612431486018994	0.0	0.01925253333253612	1.5742684549628774E-4	6.414513068200326E-12	0.01618412027093392	1.5662147588432515E-4	84.45563282270491	-100.86127514964367	
14	-6391.759351664339	-6336.471342349971	-55.28800931436841	-6336.471342349971	345.56159443278773	1324.989644236968	0.2497643772836733	0.2733675753904423	0.21064706497316227	0.28429251970581726	0.23169283993057813	0.4799894253683179	2.3308758247563754	0.4799894253683179	0.18913474987530732	2.3308758247563754	0.18913474987530732	0.0	0.05770249805250184	7.919607071472004E-5	1.7546131705778154E-11	0.05262538914252988	7.92145269196301E-5	158.85849497784923	-114.76118606017131	
15	-6317.9951753405085	-6336.260420609831	18.265245269322776	-6336.260420609831	260.51414987897004	941.2163759070644	0.4236990358254822	0.2659115427035623	0.1991858186038134	0.27821765329897985	0.2566849853936444	0.3875229322286894	2.478679450985345	0.3875229322286894	0.133797616785965	2.478679450985345	0.133797616785965	0.0	0.010091044330135112	9.73469549156869E-5	8.140324008511826E-13	0.00925883774860396	9.75307445575743E-5	122.79926118363748	-108.22602662298591	
16	-6398.167993564751	-6336.247979058125	-61.920014506626025	-6336.247979058125	318.3254530906925	1305.672823012465	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.05668706506987323	6.993505374844103E-5	1.5001553516462508E-11	0.05529518592346409	6.933891488108222E-5	267.9579895650378	-118.36992034420702	
17	-6372.45262668999	-6336.229151948799	-36.22347474119079	-6336.229151948799	227.04827659074178	908.6321471266357	0.4193935452415177	0.27245298013463193	0.18993466242027174	0.27862656664552254	0.2589857907995738	0.48054613829551096	2.3823383324837435	0.48054613829551096	0.13711552922074535	2.3823383324837435	0.13711552922074535	0.0	0.03303386559380875	1.2246524511394765E-4	2.161260171962063E-11	0.03801880933793634	1.2241503768441525E-4	89.26168513590842	-108.9717327449008	
18	-6370.591411423082	-6336.199014971655	-34.392396451426684	-6336.199014971655	154.36781038954763	602.0796287554897	0.29784690024267074	0.29498938116137446	0.17613728788430313	0.27866178816293113	0.2502115427913913	0.37381258049038474	2.4564932726758864	0.37381258049038474	0.16969414683372913	2.4564932726758864	0.16969414683372913	0.0	0.04744684496382305	1.6740139808916167E-4	6.191815285754605E-11	0.04619274711666703	1.7058774483947253E-4	65.6869371465547	-99.63390669329246	
19	-6256.152850239225	-6336.110375887075	79.95752564784995	-6336.110375887075	249.50447502118018	1014.5277193606356	0.4236990358254822	0.2659115427035623	0.1991858186038134	0.27821765329897985	0.2566849853936444	0.3875229322286894	2.478679450985345	0.3875229322286894	0.133797616785965	2.478679450985345	0.133797616785965	0.0	0.0017623255462583139	1.2037621570445574E-4	3.9478209992642566E-14	0.0016508178876201097	1.2033532252254604E-4	177.34164152340196	-112.33378553691503	
20	-6439.882220828017	-6336.076664655942	-103.80555617207443	-6336.076664655942	200.40928611107753	808.2384628159723	0.29784690024267074	0.2957913546757042	0.17559979183285784	0.2874438167881008	0.24116503670333717	0.37429967358048716	2.3993661385920593	0.37429967358048716	0.22633418782745396	2.3993661385920593	0.22633418782745396	0.0	0.2550475585898785	1.2715574466270186E-4	9.889127946045878E-10	0.23951836651738437	1.2717439562105867E-4	86.69355769691883	-105.18830711082941	
