Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
0	-6355.045267652893	-6342.3071283360305	-12.738139316862485	-6342.3071283360305	1.3083539075671358	5.261440225159378	0.9185584231472593	0.2617831465952615	0.19844631653815106	0.2725378402294483	0.2672326966371392	0.5052008421008065	2.310558367703064	0.5052008421008065	0.18424079019612893	2.310558367703064	0.18424079019612893	0.0	0.26960074651650623	0.01923360476119336	2.1148287293246015E-5	0.24373367576118626	0.019934846488825774	0.8929073715968145	-15.188719829192683	
1	-6197.590136440533	-6340.829193175552	143.23905673501935	-6340.829193175552	0.909192497224553	3.796564628483596	0.5471296438319002	0.2656776173095565	0.19028281829268964	0.27680686776061475	0.2672326966371392	0.5077144162641686	2.3677752279898123	0.5077144162641686	0.12451035574601825	2.3677752279898123	0.12451035574601825	0.0	0.004418980965176266	0.02312306046554554	1.3029500198156E-8	0.004930805834714928	0.02313524113174078	0.5054235154384685	-7.745255869911114	
2	-6267.199314991583	-6340.348866741398	73.14955174981425	-6340.348866741398	0.5988385181272851	2.5354217182543173	0.808441871810658	0.2638509764751673	0.1928698856747485	0.2806676932732684	0.26261144457681596	0.46109926950190816	2.225513963709347	0.46109926950190816	0.3133867667887443	2.225513963709347	0.3133867667887443	0.0	0.03651437798118192	0.0352916708625063	1.6208405638089407E-6	0.03626024050465983	0.035191276488024566	0.5243903731777446	-1.1914472700511913	
3	-6225.052636089354	-6337.015277348487	111.96264125913353	-6337.015277348487	0.6071571933050163	2.502273006588334	0.5471296438319002	0.2649426989862373	0.20450553557138268	0.28224249931206724	0.24830926613031284	0.4865974484927731	2.3291617613110973	0.4865974484927731	0.18424079019612893	2.3291617613110973	0.18424079019612893	0.0	0.015278681037680313	0.03606382623510456	2.324892526360146E-7	0.013345980676593523	0.03620471432794018	0.38419018710286806	-0.26195689823874047	
4	-6188.753324161326	-6336.874223306173	148.12089914484685	-6336.874223306173	0.7198970137367513	2.859685051421503	0.524766424325706	0.2584823434179221	0.1873145959005832	0.29074387947547253	0.26345918120602235	0.662676064608374	2.177743795084989	0.662676064608374	0.15958014030663648	2.177743795084989	0.15958014030663648	0.0	0.0056842164413269764	0.032751480973261346	2.9374701881249635E-8	0.005224355876434941	0.032813596233800306	0.3472601676263855	-1.023396117587251	
5	-6332.692742214201	-6336.564040590904	3.8712983767038143	-6336.564040590904	0.8879085411280312	3.3906906986122807	0.524766424325706	0.2584823434179221	0.1873145959005832	0.29114212710623355	0.26306093357526134	0.610955033992951	2.177743795084989	0.610955033992951	0.21130117092205947	2.177743795084989	0.21130117092205947	0.0	0.20660624706426764	0.029057279465942863	3.4261770123143936E-5	0.2147798278519832	0.02636797007102495	0.374606031111904	-3.3016951018857013	
6	-6007.497660644579	-6336.429697516746	328.93203687216715	-6336.429697516746	0.5072033467205036	1.9444194073923424	0.33266575155453576	0.2543890047658458	0.19491846547973374	0.28836365113668705	0.2623288786177335	0.3727490335292603	2.5275793166977705	0.3727490335292603	0.09967164977296902	2.5275793166977705	0.09967164977296902	0.0	4.9804388960792075E-5	0.05588834153907484	9.952571263696812E-12	5.644843454792674E-5	0.05588716712865848	0.23665044549915568	6.103172632934236	
7	-6305.2253226326675	-6336.099964958519	30.874642325851752	-6336.099964958519	0.9250139621885731	3.7405722577161304	0.5471296438319002	0.2656776173095565	0.19028281829268964	0.2845562627504448	0.25948330164730915	0.5077144162641686	2.3677752279898123	0.5077144162641686	0.12451035574601825	2.3677752279898123	0.12451035574601825	0.0	0.0945222672873583	0.029818446957051242	7.741970188697996E-6	0.09320906040794755	0.03018313269328741	0.4535414016040172	-7.778809280446249	
8	-6272.733221715977	-6335.802047603899	63.068825887921584	-6335.802047603899	0.3672594651302322	1.3100430868912283	0.8804745592990896	0.26309218955620145	0.2068125769325031	0.2823649603207024	0.24773027319059315	0.3003500163518129	2.5539817028460714	0.3003500163518129	0.1456682808021154	2.5539817028460714	0.1456682808021154	0.0	0.06115776468479535	0.07264432950621329	2.679186080133231E-5	0.06898488735697585	0.07449496252860045	0.17751954708834297	14.296873826441262	
9	-6249.804738065497	-6335.70230921822	85.89757115272306	-6335.70230921822	0.29172139159837396	1.0871753349539135	0.2663026330066284	0.25207209193315894	0.20497137901638135	0.2860589153420623	0.25689761370839753	0.649153944547082	2.290873928769394	0.649153944547082	0.05997212668352328	2.290873928769394	0.05997212668352328	0.0	0.04353755381882104	0.09108073281498834	1.5706641492239786E-5	0.043444437745793686	0.09083844442669675	0.1115739093488048	18.081896002001265	
