Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-6394.073446384979	-6341.603268449118	-52.470177935860654	-6341.603268449118	171.6697907777357	657.0298562829803	0.0	0.33135730121557355	0.24741565419349454	0.2296537969000586	0.29224390563071256	0.23068664327573457	0.4184813672504298	2.4342753525737733	0.4184813672504298	0.14724328017579652	2.4342753525737733	0.14724328017579652	0.04530844734863309	1.3686681979850057E-4	4.369019292609164E-11	0.04959226167755034	1.314590106191128E-4	-92.25126155949728	9.95900142688289	6.331703336609	24.19915040462115	119.5382557207615	93.85625006589082	3.0	1.0	2.0	1.0	12.0	
1	-6437.955865940158	-6341.160370112101	-96.79549582805728	-6341.160370112101	194.78264976570756	737.9468633441497	0.0	1.1904996377875097	0.2631791906089089	0.2059139962805548	0.2795549753367303	0.25135183777380626	0.490313581897892	2.368667243877368	0.490313581897892	0.14101917422474017	2.368667243877368	0.14101917422474017	0.12801042340716431	1.4571300642471705E-4	3.923324083304215E-10	0.12937591533256404	1.5177073736026396E-4	-95.89808273092501	20.0189195329895	54.27443797542435	200.01302179890953	290.58079267669433	127.95378724915129	6.0	1.0	4.0	6.0	2.0	
2	-6437.334915744787	-6339.619187802449	-97.71572794233774	-6339.619187802449	520.4334031266113	1936.3424503862973	0.0	0.43334189408766366	0.2473065545239302	0.22699685779270845	0.2881583079179482	0.23753827976541345	0.3828606103709553	2.4894719897400854	0.3828606103709553	0.1276673998889588	2.4894719897400854	0.1276673998889588	0.09903767418750746	5.761987549914603E-5	2.8505709319455933E-11	0.09459571504987535	5.70993740702372E-5	-111.8369704996787	38.94596456479372	38.80671603971463	75.91624625857581	181.40965424258695	420.2626909097544	4.0	2.0	2.0	2.0	9.0	
3	-6469.257412149929	-6337.594810261127	-131.66260188880176	-6337.594810261127	471.29356556093217	1820.7027278594085	0.0	0.7727764631823433	0.2473065545239302	0.22699685779270845	0.2817653161959112	0.24393127148745047	0.4327035005673086	2.4517536172528915	0.4327035005673086	0.11554288217979952	2.4517536172528915	0.11554288217979952	0.20884999982880204	6.404774894813003E-5	2.2778701679133087E-10	0.22843666819844582	6.618544003226017E-5	-115.30767163628042	99.28238161419479	48.70541701750129	55.5760118112284	76.27009775706111	200.20941000260746	1.0	2.0	2.0	4.0	10.0	
4	-6455.704521886452	-6337.398214750173	-118.30630713627903	-6337.398214750173	321.2474544333754	1065.750110055351	0.0	0.3215302573476441	0.2568009042051708	0.21520654790481747	0.2796487556515963	0.24834379223841566	0.29632310402443246	2.4910889458934538	0.29632310402443246	0.21258795008211373	2.4910889458934538	0.21258795008211373	0.28685292914501304	9.63942798482087E-5	7.755319294779106E-10	0.24678753631878098	1.1997581693047774E-4	-98.37214279444969	12.497109216585882	15.95967121507795	93.79619109870475	98.5479028520039	174.01089266570312	5.0	2.0	2.0	3.0	7.0	
5	-6289.485445688392	-6336.9760558182425	47.490610129850104	-6336.9760558182425	123.1593775173415	472.6213996298625	0.0	0.6630012947549199	0.2568009042051708	0.2141110423043683	0.28593326174046835	0.24315479174999272	0.5568100713547511	2.3021707544205086	0.5568100713547511	0.14101917422474017	2.3021707544205086	0.14101917422474017	0.0040204356227725386	1.7290168525446235E-4	5.028944333911783E-13	0.004103358916150078	1.727761321070928E-4	-89.12904838865059	14.165341438918698	23.089147840483093	103.78425786605587	89.80864798617506	102.1792790940457	1.0	5.0	2.0	9.0	2.0	
6	-6462.606426255621	-6336.407651658032	-126.19877459758915	-6336.407651658032	378.3372384693057	1394.6754161459476	0.0	0.16358013216490735	0.25185965222416956	0.20829583169842036	0.29692939649117983	0.24291511958623052	0.4919197983809606	2.4279935585508143	0.4919197983809606	0.08008664306822426	2.4279935585508143	0.08008664306822426	0.23276612286270426	7.229350155643578E-5	2.1093874113148053E-10	0.19384222681309643	7.266877965727924E-5	-107.90048510133256	41.04126316482037	173.40799324612297	259.9453618884237	289.18880268637133	269.3069956683251	8.0	1.0	7.0	1.0	2.0	
7	-6215.426870153001	-6336.4055106448195	120.9786404918184	-6336.4055106448195	148.622833788554	569.6856296084293	0.0	0.694928434280688	0.2618819820423013	0.22249527459264087	0.2710685944028717	0.24455414896218636	0.4587446647927308	2.3840899842319883	0.4587446647927308	0.1571653509752808	2.3840899842319883	0.1571653509752808	5.927432404462131E-4	1.7203880015880543E-4	1.2830449834258044E-14	6.585602367133229E-4	1.7199241676047372E-4	-89.81818310029294	4.409008962375777	9.421249992012914	19.385542483792126	56.21000425336397	127.59860031512792	3.0	1.0	2.0	6.0	7.0	
8	-6247.8869981049	-6336.207813487507	88.32081538260678	-6336.207813487507	234.598229284748	963.4834966640412	0.0	0.31500850964822613	0.27599730120394206	0.20260464527505234	0.2740413535851734	0.24735669993583242	0.4302305424580189	2.3306848767552206	0.4302305424580189	0.2390845807867605	2.3306848767552206	0.2390845807867605	8.742594806433978E-4	1.0919871753177543E-4	1.2227305172256236E-14	0.0010125424625027203	1.0921049366158564E-4	-100.69602684271936	12.732863175995648	28.169810639495395	55.6752190572351	215.7461182155232	302.259220143843	4.0	2.0	1.0	11.0	1.0	
9	-6416.755320683654	-6335.671302780012	-81.08401790364103	-6335.671302780012	479.7711896997366	1667.7883279014263	0.0	0.5276311457540007	0.2711011531108707	0.21084454558691273	0.2894240278417897	0.22863027346042705	0.5142294549283142	2.3833962259539256	0.5142294549283142	0.10237431911775956	2.3833962259539256	0.10237431911775956	0.06676238006694248	5.792149384926843E-5	2.005993066956655E-11	0.07541204934404325	5.9182916052352656E-5	-103.78981503439327	7.287874499868887	13.932013405338953	75.82903997013025	269.5385398651722	77.47906926100661	4.0	2.0	2.0	8.0	3.0	
