Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	4722.0	1.4730803039729778	2.1108599875790617	300.0	2.6798641590730483	4.4442888584585205	4.486342109843434	5.168432020999262	9.464841121978168	15.378790795460532	1332.0	16.083753415266244	18.123827521324074	19.074371221775607	32.5717858648153	53.91461827765866	66.68050954154799	72.02205192808374	80.1342162166277	188.5150296689823	
1	4816.0	2.484006444764674	989.0	2.503998929445885	2.5064476144151797	4.007540276806907	5.513957536488874	6.659193113096336	611.0	12.234607311656617	14.202437958327721	24.744266698966726	27.292064190926425	28.207285666307172	30.827270722819378	54.914771065275744	82.10927377192311	82.66127291877564	84.89135069683576	173.8578604722102	
2	4821.0	2.22553221601774	993.0	2.379623603770824	2.8607941650707005	4.7980153683769515	5.546022397593958	6.32383889670507	12.471885475392043	13.209133413298815	15.509312006252458	15.651912412585602	661.0	28.495475448082203	31.45105753100259	53.21273993533896	67.58000097064193	68.70993381897492	81.45367059641453	186.73900518000335	
3	4823.0	1.558181854403216	2.910704251461226	3.480053855769853	4.740351335456552	4.827041548737725	5.1296414636710495	1818.0	11.1830776739194	607.0	14.24556827680098	17.042980925992055	21.247273619447242	25.02010711067919	25.699369535532355	52.57745302467143	77.6858147020136	79.16539683966032	84.15589079800462	186.55688584911752	
4	4834.0	2.4784096128184387	1004.0	2.502715033818504	2.522880371620573	4.406634164305586	5.752925873015357	6.544892532246877	7.999250090315002	12.066255060102208	14.236027482920008	696.0	20.850258375107387	25.526096843639607	27.08990006465831	62.69850901470528	289.0	76.77423559033629	88.10698428371711	189.1580846999127	
5	4843.0	2.361333473932177	1013.0	2.3853394778342363	3.376103066882507	4.0149306961981495	5.881490822572005	11.245961163249746	613.0	13.253888848632783	14.927054797821	15.554354824139693	22.005437937526807	24.27372127035045	31.07146512182817	49.326974371899496	68.77283600258413	70.09427988692252	75.62945452552889	165.95487384997594	
6	4857.0	2.4515749712228683	1026.0	2.4633269535746365	4.195058316716455	4.975956599214129	5.170486022523249	8.322436870057231	10.171448218696213	615.0	13.761992893580185	15.391106967506374	19.770625653846054	25.42585438912178	243.0	55.312212423280045	65.48024269917315	68.2947947353793	70.17706398123184	238.6199224292358	
7	4858.0	2.1031259069632426	1027.0	2.3368286810857626	3.7114272186501296	4.449086864885004	4.514126006332731	5.136092744391618	10.882966625772212	12.719047333212075	13.78344261375301	14.060143794811665	673.0	28.15817493661808	29.623390625926902	48.45144131833153	62.22104549534845	66.79677761484118	73.58759948708459	163.42651058727185	
8	4859.0	2.022578735637069	1028.0	2.466677656662597	2.569598052563407	248.0	6.762665389377474	7.038900531766757	12.038699853668447	13.896999936663065	14.869744172787563	19.633028396783743	21.97475271306004	35.084890971312745	35.549920856369056	56.57841451556877	70.28371805246132	84.708779419602	91.54265581834542	204.0327384275691	
9	4863.0	1.2752847412253914	1032.0	2.2897969466151977	2.3812083962115196	4.121888821643523	4.276381271963345	7.5628501061937214	9.098389288589345	11.851901041496632	11.930513664129606	15.631829835492681	674.0	22.699517923422903	28.722356166745	39.890565420157856	49.6877821822863	52.96766090250907	53.49964267789444	117.29402381776502	
