#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_M_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_M_2019=2019,HRTV-26_T_M_2019=2019,HRTV-056F_T_M_2023=2023,HRTV-404_T_M_2021=2021,HRTV-100_T_M_2022=2022,HRTV-187_T_M_2022=2022,HRTV-432R_T_M_2023=2023,HRTV-504_T_M_2019=2019,HRTV-642T_T_M_2023=2023,KJ740147_H_M_TN_2013=2013,OQ688997.1_H_M_KY_2017=2017,MZ440343_T_M_NY_2018=2018,MZ440346_T_M_NY_2018=2018,NC_024494_H_M_MO_2009=2009,OQ689000.1_H_M_MO_2017=2017,JX005845_H_M_MO_2009=2009,OQ688982.1_T_M_MO_2012=2012,OQ688988.1_T_M_MO_2012=2012,OQ688985.1_T_M_KS_2015=2015,OQ688992.1_H_M_OK_2017=2017">
#                        <taxa id="TaxonSet.HRTV_M_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_M_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_M_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="10.0">0.0028166</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_M_BEAST" name="distribution" x="@popSize.t:HRTV_M_BEAST">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="gammaShape.s:HRTV_M_BEAST" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">0.269</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_M_BEAST" id="treeLikelihood.HRTV_M_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_M_BEAST">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HRTV_M_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_M_BEAST" shape="@gammaShape.s:HRTV_M_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HRTV_M_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM2uf.s:HRTV_M_BEAST" spec="substmodels.nucleotide.TPM2uf">
#                    <parameter dimension="3" id="TPM2ufrates.s:HRTV_M_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#                    <frequencies id="TPM2ufFreqs.s:HRTV_M_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TPM2uffreqParameter.s:HRTV_M_BEAST" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_M_BEAST" id="StrictClock.c:HRTV_M_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape
0	-90810.61110987392	-90836.67057450592	-90810.61110987392	-26.059464631992903	-90810.61110987392	15.149727867051423	32.12696455462958	7.257081789103048	0.24508583473457501	0.2543360421061281	0.193837611608943	0.3067405115503542	1.1486245091362297	1.3033882984727183	1.1486245091362297	0.5479871923910502	1.3033882984727183	0.5479871923910502	0.0	10.027432959708571	1.3318309748734931	-24.51896258401629	1.2539473796509806
1	-89654.78447961422	-89679.40019587985	-89654.78447961422	-24.61571626563205	-89654.78447961422	18.045621302068298	36.05921132333344	7.039889700713838	0.24508583473457501	0.2543360421061281	0.20330354801368367	0.2972745751456135	1.229814911374982	1.2305244227420042	1.229814911374982	0.5396606658830122	1.2305244227420042	0.5396606658830122	0.0	5.25343870506165	1.0557031615485708	-23.30756183723057	1.2539473796509806
2	-85914.73417351695	-85949.70727117288	-85914.73417351695	-34.97309765593372	-85914.73417351695	15.84771988040357	40.59465358927004	7.245360218305318	0.2355096443154325	0.26008592835748023	0.221369227979042	0.2830351993480453	1.397999632257307	0.988508538818993	1.397999632257307	0.6134918289236989	0.988508538818993	0.6134918289236989	0.0	2.966639699666698	2.571333210057252	-33.329648795274835	0.6990243374834344
3	-82445.59681752532	-82478.26057282438	-82445.59681752534	-32.663755299045455	-82445.59681752534	17.48295015848701	41.395008188884375	3.3632713345001766	0.24508583473457501	0.25013945423925915	0.21304492693848173	0.29172978408768435	1.2466106353341209	1.2374743265008183	1.2466106353341209	0.5159150381650592	1.2374743265008183	0.5159150381650592	0.0	3.6871570894702033	2.3788876134415466	-30.543174930281793	1.2539473796509806
4	-82215.27201668145	-82230.5033535974	-82215.27201668147	-15.231336915940604	-82215.27201668147	15.513884984119766	27.770136099011715	9.160955773252187	0.23602734839575176	0.24225207661534542	0.2209323045623955	0.3007882704265076	1.2214178311557782	1.2833769404212858	1.2214178311557782	0.4952052284229345	1.2833769404212858	0.4952052284229345	0.0	3.3246148305365453	0.8118598989896689	-14.740740070354118	0.6990243374834344
5	-79617.70301076879	-79630.4497995943	-79617.7030107688	-12.746788825484199	-79617.7030107688	14.884719087182631	25.06090743766233	7.618791911161984	0.24295691378410555	0.24715510144898326	0.2079195038589759	0.3019684809079355	1.2969854380609318	1.0233519263549233	1.2969854380609318	0.6796626355841433	1.0233519263549233	0.6796626355841433	0.0	4.101118193527882	0.7523956641677217	-12.332257432241793	0.6990243374834344
6	-77920.85213460504	-77949.74248119758	-77920.85213460504	-28.890346592544237	-77920.85213460504	15.987165110538871	36.99289884985209	6.1851080372036735	0.23749220077704597	0.25261981445604287	0.2079195038589759	0.3019684809079355	1.2969854380609318	1.0509455843691915	1.2969854380609318	0.6520689775698751	1.0509455843691915	0.6520689775698751	0.0	2.8074908372018488	1.3609853957231592	-27.883113261997792	0.6990243374834344
7	-77578.85107237082	-77603.83489977659	-77578.8510723708	-24.983827405778182	-77578.8510723708	14.686025744895748	31.508293225044298	7.266124556554478	0.23038897858571475	0.2582581842660799	0.2093843562402701	0.3019684809079355	1.310736321103412	1.1633282355599235	1.310736321103412	0.5259354433366629	1.1633282355599235	0.5259354433366629	0.0	2.8074908372018488	1.5234978570384148	-23.863794155456368	0.6990243374834344
8	-77082.55990421398	-77085.94786009629	-77082.55990421398	-3.3879558823057994	-77082.55990421398	14.362043039800911	21.342312651192714	8.63814081210815	0.2425636800328126	0.26008592835748023	0.22606647586146913	0.27128391574823807	1.4493450862630457	0.9327048219481698	1.4493450862630457	0.6179500917887836	0.9327048219481698	0.6179500917887836	0.0	2.966639699666698	0.37470261007019096	-3.595910906094356	0.7736675836584159
9	-77048.42742545172	-77063.42684380883	-77048.42742545174	-14.999418357090958	-77048.42742545174	15.394439028308005	26.391351756313675	6.668171284956753	0.2355096443154325	0.26008592835748023	0.221369227979042	0.2830351993480453	1.397999632257307	0.9241621036715253	1.397999632257307	0.6778382640711667	0.9241621036715253	0.6778382640711667	0.0	2.966639699666698	0.6031543799832396	-14.805976114757268	0.6990243374834344
10	-76775.75907700621	-76819.72347796535	-76775.75907700621	-43.96440095913813	-76775.75907700621	19.118658013356665	54.93525215582129	1.1745398599302765	0.24508583473457501	0.25013945423925915	0.21304492693848173	0.29172978408768435	1.229814911374982	1.2305244227420042	1.229814911374982	0.5396606658830122	1.2305244227420042	0.5396606658830122	0.0	3.6871570894702033	2.929188273290777	-41.635728234673294	1.2539473796509806
11	-75248.87322385515	-75286.63087771238	-75248.87322385517	-37.757653857200054	-75248.87322385517	19.557451168226375	48.684666634323136	4.717394192796903	0.2355096443154325	0.2644515656646086	0.21539086937484353	0.2846479206451154	1.397999632257307	1.0500552994086934	1.397999632257307	0.5519450683339985	1.0500552994086934	0.5519450683339985	0.0	2.966639699666698	1.633029609758734	-36.56819257376853	0.6990243374834344
