Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-3094.627767202477	-3434.953514385214	340.3257471827369	-3434.953514385214	77.0151417808334	311.2206491994201	0.25747607782388165	2.1684486783252255	0.574075243850893	0.25747607782388165	2.1684486783252255	0.574075243850893	2.440453527881802E-6	3.290260679770891E-4	7.204077772793205E-19	2.579639035469936E-6	3.2902622302377946E-4	-84.0650001006048	6.936381318515022	18.86007262543783	29.524709160914167	45.901624761109815	28.079499452550014	3.0	1.0	7.0	5.0	3.0	
1	-3174.947479546586	-3434.8750909205014	259.9276113739154	-3434.8750909205014	43.479392671637484	251.84430875068745	0.25747607782388165	2.1684486783252255	0.574075243850893	0.25747607782388165	2.1684486783252255	0.574075243850893	2.2243583553725077E-5	3.504626262675984E-4	6.790284848724255E-17	2.3512606645926233E-5	3.5046572461828166E-4	-75.48067272877108	7.54985321995282	38.88259479062972	45.3067126575578	88.31252036049997	12.666407722391027	8.0	1.0	2.0	6.0	2.0	
2	-3439.8057790726334	-3434.6353635088867	-5.170415563746739	-3434.6353635088867	76.61528263803821	304.06507871775096	0.18637999436420175	2.0993208710758102	0.7142991345599884	0.18637999436420175	2.0993208710758102	0.7142991345599884	0.027769905066488024	3.307693158449322E-4	5.292329797488195E-11	0.021810950959186483	3.3167539825361045E-4	-77.77817004659406	3.366282123001531	5.601900334157442	12.339897510711738	89.53373558591773	14.32892370778912	2.0	3.0	4.0	7.0	3.0	
3	-3325.5474944028997	-3434.0152543128174	108.46775990991775	-3434.0152543128174	64.3001685521504	287.46910385839067	0.17781095072032682	2.210635749552983	0.611553299726691	0.17781095072032682	2.210635749552983	0.611553299726691	0.0013262367668836201	4.4368877793695343E-4	3.788816260484869E-13	0.0013866223284200307	4.4402603661891995E-4	-74.22540053172915	5.382360985901359	5.385400506519349	28.842981102818364	47.06988390716221	11.153101936854886	4.0	4.0	1.0	8.0	2.0	
4	-3528.243161458078	-3433.711358141365	-94.53180331671267	-3433.711358141365	102.55507289816158	408.64901682482764	0.12379915213370513	2.1034911517687402	0.772709696097555	0.12379915213370513	2.1034911517687402	0.772709696097555	0.2299818279955476	2.507140879835384E-4	4.079488489158599E-9	0.24249993340326637	2.5852346118003587E-4	-77.6858899382853	2.3923151891266485	5.395121520374933	21.057706761362592	95.42072308400434	65.9392963244401	7.0	1.0	1.0	3.0	7.0	
5	-3523.9771249145047	-3433.0251848419293	-90.95194007257537	-3433.0251848419293	61.42384820753159	319.5769499805226	0.2486914515910994	2.1312472327839984	0.6200613156249026	0.2486914515910994	2.1312472327839984	0.6200613156249026	0.21709170288803892	3.346086212959269E-4	7.219616053567553E-9	0.23882850747829026	3.398642208132485E-4	-70.16578942294639	3.873585813903098	20.51016370233174	58.6530043379937	159.76234139229274	10.539698381776597	7.0	1.0	2.0	5.0	4.0	
6	-3349.886049582931	-3432.9288195666554	83.0427699837247	-3432.9288195666554	76.45008673924856	391.5967955397019	0.20707526931587664	2.173227709807283	0.6196970208768405	0.20707526931587664	2.173227709807283	0.6196970208768405	0.0019468376136796831	2.2112257603909858E-4	1.918289105101479E-13	0.001979927071585689	2.2127968265088605E-4	-84.69432292388771	6.703724296020299	12.668381081252232	19.707311500357044	102.69536337351667	7.315330379988251	1.0	3.0	4.0	9.0	2.0	
7	-3342.384064876894	-3432.8332301197293	90.44916524283494	-3432.8332301197293	67.24822577411649	304.87658647422046	0.23616249467940612	2.1437761896956915	0.6200613156249026	0.23616249467940612	2.1437761896956915	0.6200613156249026	0.0021081315613465127	3.475621046278815E-4	4.730722882582989E-13	0.0019796914104481425	3.473217468712048E-4	-77.49558591109349	5.907023651260378	17.48981944575619	52.61805763780611	62.747474654630935	11.206928135720926	5.0	3.0	1.0	7.0	3.0	
8	-3440.29147448904	-3432.7869342019694	-7.504540287070455	-3432.7869342019694	86.2319591628729	322.8091084648353	0.16668656855435715	2.282131866662122	0.551181564783521	0.16668656855435715	2.282131866662122	0.551181564783521	0.021576499951891235	2.9757956778469954E-4	5.51744417796324E-11	0.025079474088636044	2.939252672755289E-4	-77.39756961509292	7.205746462392623	11.517309831027221	16.19273349054317	49.44709915811579	27.98394520256329	1.0	5.0	2.0	9.0	2.0	
9	-3316.141682022005	-3432.754077686263	116.6123956642576	-3432.754077686263	92.68327630934728	422.11514412566055	0.20707526931587664	2.173227709807283	0.6196970208768405	0.20707526931587664	2.173227709807283	0.6196970208768405	6.754978805539233E-4	2.2288483715839232E-4	2.511637427322254E-14	7.110411231560694E-4	2.2291113986865977E-4	-88.94118138098372	18.57432518484074	19.54965298685975	70.17092578746316	85.2446447953388	67.74940539649315	3.0	4.0	4.0	7.0	1.0	
10	-3522.7379698761724	-3432.66162407014	-90.07634580603217	-3432.66162407014	80.53147822289237	324.4356433366607	0.19518656371379897	2.2351068471157456	0.5697065891704558	0.19518656371379897	2.2351068471157456	0.5697065891704558	0.1497341323841794	2.496847430247666E-4	2.3995978664454685E-9	0.17722221582157577	2.6876968889365607E-4	-82.07967698392666	15.196927761123392	13.423957368235033	58.97133479600116	49.78904265572608	31.882945040195757	4.0	3.0	2.0	6.0	4.0	
11	-3389.6298711519435	-3432.4549296252767	42.825058473333236	-3432.4549296252767	57.18134293420415	255.90183883883955	0.09780681771297553	2.282131866662122	0.6200613156249026	0.09780681771297553	2.282131866662122	0.6200613156249026	0.00885778367057775	4.31942578041017E-4	1.2337305799079023E-11	0.008111882304461278	4.3267056261345194E-4	-72.31151541361554	3.577096329927833	11.377933714715569	10.946558915458377	48.11013737132386	23.415752793692196	4.0	1.0	3.0	8.0	3.0	
12	-3389.6298711519435	-3432.4549296252767	42.825058473333236	-3432.4549296252767	57.18134293420415	255.90183883883955	0.09780681771297553	2.282131866662122	0.6200613156249026	0.09780681771297553	2.282131866662122	0.6200613156249026	0.00885778367057775	4.31942578041017E-4	1.2337305799079023E-11	0.008111882304461278	4.3267056261345194E-4	-72.31151541361554	3.577096329927833	11.377933714715569	10.946558915458377	48.11013737132386	23.415752793692196	4.0	1.0	3.0	8.0	3.0	
13	-3378.075804879563	-3432.1537059021057	54.07790102254282	-3432.1537059021057	53.58956533109128	264.35455793918277	0.14192467574432033	2.1437761896956915	0.7142991345599884	0.14192467574432033	2.1437761896956915	0.7142991345599884	0.0049303199194492085	3.8267722632778995E-4	3.124642074369539E-12	0.004619721506051812	3.8208965724700075E-4	-77.93818409958226	6.03251262209449	32.77591744347924	44.35199029565067	59.1030806499492	45.272013775022536	7.0	1.0	5.0	3.0	3.0	
14	-3398.637562022006	-3432.051896765293	33.41433474328678	-3432.051896765293	81.45138550850777	351.383844871414	0.1448318372593521	2.2351068471157456	0.6200613156249026	0.1448318372593521	2.2351068471157456	0.6200613156249026	0.008049821030728838	2.998434605671901E-4	6.090503455992459E-12	0.0082375631374765	2.9913621999663276E-4	-81.46267271129493	1.7882793293221912	6.21558251609494	17.095246907535945	60.99576603591737	28.01550700086911	1.0	2.0	3.0	10.0	3.0	
15	-3325.1718053280815	-3431.3817931138187	106.20998778573727	-3431.3817931138187	52.91581994517936	247.16264908413194	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.0014030267007247661	3.047432276719627E-4	1.3888972102808165E-13	0.0012229938313395923	3.0467961077873784E-4	-72.8978141773998	7.227016651708824	62.83626942446624	125.28655658778132	83.31934954138532	17.426628209954334	8.0	1.0	1.0	6.0	3.0	
16	-3363.812323437528	-3431.3170029875287	67.50467955000087	-3431.3170029875287	50.52897844359494	301.63763098808766	0.20707526931587664	2.173227709807283	0.6196970208768405	0.20707526931587664	2.173227709807283	0.6196970208768405	0.003615741449681748	3.3317454040132725E-4	1.3939231705509865E-12	0.003544572533041481	3.331949039428137E-4	-79.71900809441081	3.9067859794029767	7.819634446434889	18.75954003360708	66.20436131249504	56.71407474295791	3.0	2.0	3.0	9.0	2.0	
17	-3542.112909299197	-3431.068850505173	-111.0440587940238	-3431.068850505173	67.86876324308868	360.5169276631756	0.09604307111844693	2.182541286035433	0.7214156428461203	0.09604307111844693	2.182541286035433	0.7214156428461203	0.3594764047102451	2.990775880081048E-4	7.605147990636165E-9	0.2920132518215655	3.0520242230750306E-4	-83.69077754954981	14.318894752996952	23.502413621299095	63.76952674839272	160.5715043785204	44.22969331780368	5.0	3.0	5.0	3.0	3.0	
18	-3346.136928995061	-3431.050293143786	84.91336414872478	-3431.050293143786	69.68718510666005	327.9839115641905	0.1448318372593521	2.2351068471157456	0.6200613156249026	0.1448318372593521	2.2351068471157456	0.6200613156249026	0.002044839391993229	2.588832525886797E-4	2.037543175330691E-13	0.0017431948052293676	2.5888555908545804E-4	-85.17944438589508	17.404822245480716	12.5832989329115	46.778801189521104	98.12089594068857	95.82840007023253	1.0	5.0	1.0	6.0	6.0	
19	-3439.724542605707	-3430.9719316119254	-8.752610993781888	-3430.9719316119254	59.77208537545409	276.9418524710511	0.08452332985324558	2.1312472327839984	0.7842294373627563	0.08452332985324558	2.1312472327839984	0.7842294373627563	0.02596273447902383	3.4439941144601046E-4	7.103531599724905E-11	0.024464178243573664	3.453595843813968E-4	-77.43768688474995	9.033608467455114	23.41502815853619	40.57193718053825	158.2178749434416	26.78057079181578	6.0	3.0	4.0	2.0	4.0	
20	-3180.12287672314	-3430.8784068102414	250.75553008710125	-3430.8784068102414	57.93800848397004	274.0614538476973	0.18637999436420175	2.0993208710758102	0.7142991345599884	0.18637999436420175	2.0993208710758102	0.7142991345599884	3.121347816208273E-5	3.9670398537250466E-4	1.4819218907387343E-16	3.068619993321897E-5	3.9670288994488897E-4	-77.35362270359408	5.479235609190688	16.779864523034384	21.34569533039208	60.145731993604464	7.264164801387474	5.0	2.0	1.0	9.0	2.0	
21	-3368.6909785110765	-3430.860066202528	62.169087691451494	-3430.860066202528	100.54267522128994	421.64014009201816	0.1704108398312251	2.0683184414814044	0.7612707186873705	0.1704108398312251	2.0683184414814044	0.7612707186873705	0.0034341952943975074	2.3731267925445384E-4	6.652210839282009E-13	0.003435253057300427	2.3733080121376914E-4	-82.09816794088107	4.060846266265938	18.86223697960537	72.47647060272898	104.11451164845265	49.409198081654324	7.0	2.0	2.0	4.0	4.0	
22	-3405.296845645837	-3430.703259142869	25.406413497031615	-3430.703259142869	52.709274911877316	260.9913903145578	0.12747060656338288	2.2524680778117148	0.6200613156249026	0.12747060656338288	2.2524680778117148	0.6200613156249026	0.008802849276582899	3.867888951241338E-4	1.522875962536461E-11	0.010119106477096386	3.854879931074477E-4	-80.17351230514092	16.361082080770203	15.28892980279036	31.644021147969358	63.6204440647025	24.09383196910979	2.0	6.0	5.0	5.0	1.0	
23	-3532.4026177014503	-3430.6029990968887	-101.79961860456169	-3430.6029990968887	87.94045937505886	361.99031500958444	0.19184804348069992	2.2670298523196326	0.5411221041996677	0.19184804348069992	2.2670298523196326	0.5411221041996677	0.2542593533010207	3.21359236910321E-4	6.097387720699638E-9	0.24045011909867595	3.3348159947993054E-4	-84.95516473384755	10.32236210518077	11.762980340695925	44.93939005078237	79.81792593521848	130.02170632994273	2.0	5.0	1.0	9.0	2.0	
24	-3522.0725825873346	-3430.5951203671307	-91.47746222020398	-3430.5951203671307	59.90752546046856	247.60704299862854	0.27773809436982294	2.2163169853235964	0.505944920306581	0.27773809436982294	2.2163169853235964	0.505944920306581	0.27419120346893816	3.761760059009042E-4	8.186307209358879E-9	0.2348128311149006	3.881616061107931E-4	-76.38331968041913	4.589824836622514	16.264830027374487	26.31386619091234	30.729205910859672	22.079726678112564	6.0	1.0	1.0	2.0	9.0	
25	-3512.516553422695	-3429.908759877332	-82.6077935453628	-3429.908759877332	63.56245475237974	366.2887767093042	0.12822124505855143	2.2646694188729315	0.6071093360685176	0.12822124505855143	2.2646694188729315	0.6071093360685176	0.1713593861493221	2.659828539698048E-4	2.3199230096468327E-9	0.1708617569778947	2.8296183348339995E-4	-78.45576642554413	6.6636482450604015	17.580178220563116	81.08002013396897	83.27423341777076	23.770992388303444	8.0	1.0	4.0	4.0	2.0	
