Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
0	-3439.13083590617	-3446.432148146581	7.301312240410849	-3446.432148146581	129.2260363470212	614.5208851215433	0.09647193379383392	2.26042857822984	0.6430994879763251	0.09647193379383392	2.26042857822984	0.6430994879763251	0.6607192862527387	0.013695699969030223	1.7367386185748986E-4	6.336994069447363E-12	0.014561289510659374	1.7307538970750107E-4	62.83201730285522	-102.91610697254538	
1	-3461.159104732172	-3443.9865347732684	-17.172569958903853	-3443.9865347732684	36.21739562856049	163.88472169955975	0.06249193806604768	2.2815210271144513	0.6559870348195005	0.06249193806604768	2.2815210271144513	0.6559870348195005	0.7324695937213953	0.05452216227524433	6.65385016704821E-4	1.3669293659995344E-9	0.05609464261369057	6.520211202790844E-4	15.54730376945979	-74.58483145388489	
2	-3547.6263290237425	-3443.928144818615	-103.69818420512753	-3443.928144818615	113.34086561587058	625.6899767114609	0.2267473167868249	2.2268484308513283	0.5464042523618462	0.2267473167868249	2.2268484308513283	0.5464042523618462	0.6343775987370216	0.23898253262177863	1.728199360406917E-4	2.041939879426282E-9	0.2613432820455396	1.7632647524971098E-4	79.85020766162464	-105.05816409378924	
3	-3488.106093076495	-3443.02057088267	-45.085522193824836	-3443.02057088267	51.459979936516866	255.81751325781835	0.0968154581719419	2.176876267384491	0.7263082744435673	0.0968154581719419	2.176876267384491	0.7263082744435673	0.5811994964677462	0.09386176032080863	3.6229223209215345E-4	9.64329247916054E-10	0.08263112682983566	3.684056489963128E-4	29.819385750218647	-85.91338136251461	
4	-3567.6427627007492	-3442.975805219262	-124.66695748148712	-3442.975805219262	79.99074632218522	366.87625560854997	0.23296643882964593	2.015863603332289	0.7511699578380652	0.23296643882964593	2.015863603332289	0.7511699578380652	0.8071309884798614	0.6713091896184353	2.3672323946873633E-4	3.37309448052811E-8	0.7047383668757629	2.674040681221307E-4	46.29403717525642	-92.48551457592424	
5	-3545.3324456221612	-3442.946019386683	-102.38642623547805	-3442.946019386683	87.50357959482167	477.1678335446582	0.3141669906691566	2.2623844496391556	0.42344855969168804	0.3141669906691566	2.2623844496391556	0.42344855969168804	0.6457684746818185	0.23871035507640806	2.4183448648405678E-4	2.9099208775513485E-9	0.2515603012500517	2.1679944325905397E-4	89.58347642613433	-100.02203792492338	
6	-3542.3975565648175	-3442.6716420062976	-99.7259145585197	-3442.6716420062976	190.14644967138224	1009.5708214533535	0.29326398804504367	1.9694524113395973	0.7372836006153585	0.29326398804504367	1.9694524113395973	0.7372836006153585	0.7383085706013528	0.17312703165462337	9.538248187343626E-5	2.5121600362332897E-10	0.15643197667961892	1.0031031261682509E-4	210.90656931402344	-116.66425597178056	
7	-3464.906227411094	-3442.0516191653896	-22.854608245704114	-3442.0516191653896	44.41890330202227	196.45792807580708	0.19247625308676844	2.362672716258409	0.4448510306548216	0.19247625308676844	2.362672716258409	0.4448510306548216	0.7018773345718683	0.06037014606464031	4.5960587496999053E-4	6.678977899613762E-10	0.05590266838135747	4.544400736584563E-4	23.413224019658767	-78.99656740297308	
8	-3529.1478256131436	-3441.5487199714394	-87.5991056417042	-3441.5487199714394	56.703542924337754	291.5977990101379	0.021979085471875145	2.3083864972059756	0.669634417322149	0.021979085471875145	2.3083864972059756	0.669634417322149	0.6343775987370216	0.2132457911906238	3.359066600920622E-4	5.031919948436148E-9	0.23684889514440793	2.85777864667192E-4	32.11975260924414	-88.42917489883126	
9	-3488.975370566892	-3441.4895825775047	-47.48578798938684	-3441.4895825775047	167.24085867772976	731.276383958743	0.133916443892668	2.2765519565397985	0.5895315995675323	0.133916443892668	2.2765519565397985	0.5895315995675323	0.6607192862527387	0.05988073933088035	1.2099204354441842E-4	3.7803577471135095E-11	0.05274807312544137	1.1658163313894322E-4	94.62332103976011	-107.08437990105723	
10	-3411.262486690043	-3441.3352009059217	30.072714215879152	-3441.3352009059217	41.75511021994328	220.00816717441035	0.09745024857679599	2.4395252605587623	0.46302449086444086	0.09745024857679599	2.4395252605587623	0.46302449086444086	0.7324695937213953	0.014200246716745992	3.700283367971187E-4	2.2944415334497884E-11	0.012973692453309293	3.682247472475188E-4	33.263749678027196	-83.255390999323	
