#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	NSlikelihood	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	-6651.531031401908	0:3.8988815697195003	0.685651894064975	1.310673733420618	2.2993874191269104	2.794689363612264	3.324191837733851	4.032021342009418	5.157183142366366	5.2439974869077215	6.261543753462517	6.325251331842901	6.329153332145848	6.4405042612666525	7.662231245652993	10.01400303520454:0.6158711455090523	10.709309561933637	11.043852659034533	11.129653631566162	14.384011300620699	14.419962568049128
1	-6616.067175995833	0:0.9849764029538614	0.3921198939385562	1.5291148505106698	1.5589917494382348	1.5790545355721086	3.4183007056010553	4.387623698165788	4.606393195661141	5.000586040601853	5.006007771821066	5.988293802526332	6.035343223673895	6.064220338308775	6.093961949723651	9.021772139492274	10.782186064670089	11.227053051925298	13.042604209248694	15.479261308887253	17.850164924046165
2	-6575.779743514043	0:1.450344749516644	0.40479461429575636	0.7027565679729495	1.3638184250293257	1.5918637687326918	3.6082159623611485	4.2160189775116255	4.4479455298824035	5.067457118534154	5.393166588149672	6.1899870900860705	6.319058823651368	8.08979274981215	8.854378975373173	9.250217989108714	10.511971959418965	11.880069432094665	12.440716757168284	14.05844711979287	16.215134467144182
3	-6427.277250288098	0:1.6769668074750839	0.3792470015948961	1.1016217146848906	1.167934277471149	1.7264673292550086	2.278549798457961	4.343025208207964	4.404394542365855	5.140299326457447	5.2814252598208995	6.017596221052697	6.2769348068401545	6.395502941074994	7.633502820061023	8.679200812381625	11.212261558537728	11.935318727831621	12.784108011428948	14.199184487538671	14.39327711326177
4	-6420.874491146647	0:8.59762466730987	0.4884095827752617:0.6694026432924226	0.5092532180524998	1.3701649706347805	2.0331585229876517	2.353771285278235	4.165545299792836	4.233175487468991	4.499474278771407	5.561975695273835	6.01086841879464	6.196142935607398	6.33300069503208	6.394243492756651	8.10339016904204	10.297897797473627	11.005870247918956	13.03754533721624	14.190166219906606	16.601977979839607
5	-6387.6789248152	0:2.0644233527152522	0.16099796493495333	1.2122148354096502	1.2620155410171563	2.0102468631046886	3.398273291882216	4.032180963939076:0.6176817400347697	4.1850176831334664	4.327679908984644	5.107841750422272	5.523004582543674	6.230546322314439	6.233305925904737	7.850973677487818	8.982407795092543	10.571927214636862	11.04475917458587	11.182501169135644	14.153893389594304	14.496875732444316
6	-6358.3237271133685	0:3.3346846779364037	0.29887618127700044	0.9897764999113168	1.839347381644922	2.092449490347315	2.1098267939166693	4.004256051845026	4.218170977931896:0.20839046414678727	4.823064704555698	5.253435641305433	6.0003673829589275	6.021549356533029	6.1820748658186995	6.240335632519975	8.068436795033305	10.206901639903327	11.103338074291617	11.395043593627857	14.017016101974935	14.084315308926564
7	-6202.539217882439	0:0.9903992276375343	0.3564864354653192	0.9936053072625608	1.09145914347134	1.2238012784264782	4.009718915402397	4.017823311838638	4.267383700184656	5.252556213107246	6.02588595580694	6.027310992511362	6.091866173404613	6.693134503430988	6.895113303804624	9.814299212071575	10.626414971684468	11.01530445761532	12.852548568219337	14.009545988015335	15.02041751512706
8	-6192.407986838389	0:2.168580027722949	0.51796258431499	1.098093113122843	1.1621098686496616	2.668805148631616	4.008127601822586:0.546820321082693	4.03356379001789	4.331355073529963	4.836685660118928	5.016638431304271	6.059957776580664	6.120839527797129	6.449101429879064	7.051818466110835	9.576644301995525	10.30468651960023	11.104490070380773	11.558589252143754	14.033440620780564	14.372948542949345
9	-6177.117914252856	0:1.2227439733068446	1.46424558768933	1.7866816797590666	2.303103574811736	2.4331216371380187	2.7722875819248536	4.509007374007044	4.856323002899789	4.9516628165250225	5.3696112456769605	5.9007781042517085	6.078802672170909	6.261298432366704:1.7774868516170375	8.114125411684753	8.774150878576709	10.064411697721832	11.206058528459744:0.4491488245617897	11.617121080561766	14.037381373130113	14.521248935116446
