Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	3956.0	1.3578344261846098	3.0379107107791015	4.214892522915093	4.998304450482735	5.121208441448147	350.0	5.56842287782689	5.935135912895618	597.0	14.863839590691882	17.7879583734817	18.907908890823833	22.214322889138316	27.089058855307158	38.238116723171345	47.349878336402874	56.53634305678292	59.732517742987504	638.0	
1	4010.0	1.2440308567154403	3.9232985668490414	4.081570628854848	4.676376631841734	5.058175618111406	366.0	5.374846479832172	5.618560724540316	624.0	14.143683459876058	14.770797530291048	19.557753359565083	23.856537231714967	25.19084649667323	36.98031901569709	42.332199692435125	59.49355919207484	59.74690966793922	116.12342230283824	
2	4032.0	1.4951853419260317	2.1187475282059367	3.385039757535246	4.802843733463611	4.809113329782022	4.8253132330708866	398.0	5.254893524577589	636.0	13.86791740393653	14.09886011830573	15.193784286609777	17.112448902367404	21.19590665671772	27.723885197329643	30.476746538907467	37.18095929556477	42.39823356166282	52.96395116729037	
3	4049.0	1.68040926870232	1.6879433908848824	3.5386088230344086	4.07932813333484	4.137484580452252	4.819226437014166	404.0	5.29524779453422	644.0	11.628758167186959	14.757469579749966	18.223831825388714	20.24072215094347	23.750341987804774	38.34635971865988	38.51628766322453	46.525348826497876	48.500290256353125	73.1535735071889	
4	4059.0	2.993558633261941	3.0778118689652274	3.7040003759983193	4.177175336635955	4.506801735691923	4.53451501965678	406.0	5.3657546925843675	651.0	13.071321112441971	13.86495188003044	488.0	17.00692823258055	21.310793262301914	28.60255426167894	30.055171516495797	35.79998567164373	41.732111340163385	68.57632474841417	
5	4073.0	0.9686809187983414	2.914357250546047	3.275276438021926	4.821455182946039	4.829648128743237	4.854440804413599	412.0	5.077040679785512	661.0	14.471361225663266	15.264246111866846	15.449492640656942	17.04110554180498	20.156414297598573	28.314022717808626	28.626773536611022	39.08496187028531	42.00976305807506	56.422809915761505	
6	4083.0	1.9079968913073486	2.2494678831290287	3.5808637904457328	4.028902197469364	4.738768165403101	380.0	4.950683706163147	5.041597918303495	8.75018953071428	11.059518103606948	12.779914648613286	14.204931783736384	16.833409135378957	316.0	34.15342077251908	35.57065059886363	38.3345738290276	45.97181751923263	71.90954265774909	
7	4092.0	0.9524844595739239	2.1857544313677835	3.0239847622877107	504.0	4.208581584809394	5.275821414437175	5.446000568093126	5.574641465062761	669.0	11.948812722406032	13.878252850296136	14.512630917329574	16.51661217307555	19.939283053458894	29.101077355235706	30.035225287291354	35.683079550551035	41.41901956217989	60.04279358540887	
8	4110.0	1.035052997550551	1.0429297139199178	3.235708256432744	4.148458544908195	4.885437013790252	4.983551577205674	5.1834983014231355	1166.0	676.0	11.974442096185925	14.185094738214303	15.461927639730078	18.08028003265627	22.02188028471859	31.3653883862602	32.653775781508145	37.56213841198017	627.0	55.52837077953468	
9	4116.0	0.6376667659601338	1.1756227821775838	1.365585883024366	4.016795589526964	506.0	4.298822504145022	5.542740297911635	6.0536721750481135	681.0	12.489458531287937	14.375892506771066	15.4756502342413	19.982763745678703	22.073142111021106	40.813499312755575	43.5348606518187	49.813014658781555	59.26847246298265	65.79957848697005	
