Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-3556.4522551535815	-3443.2382952718062	-113.21395988177534	-3443.2382952718062	80.7085694187076	306.79884490786884	3.283531640130569E-4	0.13430406609723095	2.0208940411339076	0.8448018927688608	0.13430406609723095	2.0208940411339076	0.8448018927688608	0.7080927004716042	0.9723712225855506	-86.18345288750369	10.0806034237429	51.283420487714864	134.7608700115414	107.66780899593293	43.424647885841594	3.0	2.0	4.0	3.0	7.0	
1	-3532.655415630774	-3439.9946192931093	-92.66079633766468	-3439.9946192931093	83.34306594289384	371.8869098662227	4.7157751767350393E-4	0.26310274385552823	2.1936573830219306	0.5432398731225407	0.26310274385552823	2.1936573830219306	0.5432398731225407	0.7080927004716042	0.5758376861013201	-75.0891531748045	4.510693193615807	1.5325066592925183	3.950263312720784	12.948474657574062	58.963877412887015	2.0	4.0	2.0	1.0	10.0	
2	-3527.8528485958077	-3439.033617939454	-88.81923065635392	-3439.033617939454	51.48439548933813	215.80721601562277	8.269698485154246E-4	0.23100601897986148	2.1249229416426703	0.6440710393774679	0.23100601897986148	2.1249229416426703	0.6440710393774679	0.7080927004716042	0.484162893949463	-70.32858626581977	1.5872522356340013	3.4305194413334728	18.585076801611073	46.2173819835117	10.994121320441417	4.0	1.0	8.0	5.0	1.0	
3	-3524.2821854961185	-3438.3221410063466	-85.96004448977213	-3438.3221410063466	47.86994318914119	225.7074262556572	9.661447188139667E-4	0.1110488528010934	2.09113315765918	0.7978179895397263	0.1110488528010934	2.09113315765918	0.7978179895397263	0.7080927004716042	0.484162893949463	-67.54460055280934	3.4206406737608392	11.6318618526287	43.309491101918546	12.105595539022813	6.803087158180852	8.0	1.0	6.0	2.0	2.0	
4	-3530.7054718841023	-3437.5819110778543	-93.12356080624787	-3437.5819110778543	69.14941623387591	277.17636764871196	9.160874854824611E-4	0.2006033237602014	2.306248444740402	0.49314823149939657	0.2006033237602014	2.306248444740402	0.49314823149939657	0.7080927004716042	0.3884259900995224	-73.45522565885726	5.256621691589287	11.582988135754626	23.091606652780502	34.57610677651161	85.34808494349448	7.0	1.0	1.0	3.0	7.0	
5	-3539.9940420536313	-3436.9540117717606	-103.04003028187053	-3436.9540117717606	62.73608210864148	331.32949566946724	2.9994268693795133E-4	0.06198588907617245	2.148219862988876	0.7897942479349509	0.06198588907617245	2.148219862988876	0.7897942479349509	0.7080927004716042	0.9723712225855506	-79.77085992178966	8.492773058979557	15.64812215820142	54.37596628287844	112.66995365694356	17.860992916381072	4.0	3.0	5.0	4.0	3.0	
6	-3551.9829326610275	-3436.6155984403517	-115.36733422067593	-3436.6155984403517	69.27351387968713	320.9289401659156	2.947527043678276E-4	0.06883062544817597	2.486578090577034	0.44459128397478936	0.06883062544817597	2.486578090577034	0.44459128397478936	0.7080927004716042	0.9608664085348095	-89.29412464192531	19.143369300173774	49.969260898635945	70.22237951464396	93.41454905649648	202.0790913897078	1.0	11.0	1.0	5.0	1.0	
7	-3535.5451885488374	-3436.56923022972	-98.97595831911765	-3436.56923022972	42.08378999127654	234.56249941342764	8.380359562056968E-4	0.22441311053950272	2.1631364215162496	0.612450467944247	0.22441311053950272	2.1631364215162496	0.612450467944247	0.7304749278205906	0.484162893949463	-78.2645074477007	4.758120549141056	27.11057935230292	54.903402109925345	11.209180187922664	7.485156015246707	2.0	4.0	9.0	1.0	3.0	
8	-3535.6994112141583	-3436.3229997585104	-99.37641145564781	-3436.3229997585104	58.68143823549375	256.79882275693143	7.953208601287048E-4	0.3039692904948442	2.23933566886271	0.45669504064244487	0.3039692904948442	2.23933566886271	0.45669504064244487	0.7304749278205906	0.484162893949463	-76.92318854813936	13.23833427862215	6.602521266078122	50.106096513297054	20.888309983331418	13.932114336915294	5.0	3.0	8.0	2.0	1.0	
9	-3521.307075598601	-3436.3210581485764	-84.98601745002449	-3436.3210581485764	48.01196145703142	213.93930336345983	9.44049249248639E-4	0.21860555702347434	2.4249387665173194	0.35645567645920606	0.21860555702347434	2.4249387665173194	0.35645567645920606	0.7080927004716042	0.484162893949463	-66.98165863771243	2.3800455756396164	8.770072889576454	21.527179765513317	35.88524102001629	13.207208624932317	8.0	1.0	1.0	7.0	2.0	
