Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	4686.0	0.43627951149981214	1.024947459329816	2.59790996651963	3.9364470174380486	387.0	4.260564518783646	4.306858211883295	4.959265348899848	6.935598218125492	12.042877724257892	12.698133658942822	16.41896285885639	538.0	20.633384901140047	27.53545945880199	28.01903789964975	31.038880472419994	31.827647463030456	882.0	
1	4697.0	1.053166831229916	439.0	2.724692132335946	4.009324460886781	4.314145225886584	4.450493549885536	4.571889109778681	782.0	5.339020766832455	11.372950281408787	11.515070736516684	585.0	16.04570007859095	18.89442669206783	673.0	23.430671692565937	24.498487172236544	26.455197272444256	40.10525993937818	
2	4701.0	1.1467448328842167	1.7837475609405757	2.25116476493244	797.0	4.156251585928992	4.231871130436012	5.052296723912658	5.212624193763698	7.690110608128542	11.08098066049169	11.53340557970478	14.108024382518543	545.0	16.941550854708755	25.270578420302023	25.282217876459576	26.78543861443023	630.0	888.0	
3	4713.0	2.3582684060187518	2.675114249070191	3.5216066157568235	3.8786948497237006	393.0	4.967272981964754	4.994093797453026	7.236579534240029	7.965679910991241	11.656383793847596	14.527970100256713	589.0	19.62614301711416	19.936534228031917	23.397286582229547	566.0	31.501114754714965	33.120567445353934	42.35795134171675	
4	4717.0	402.0	1.5050301040080498	3.177866577028233	3.181508786843679	4.415943510552857	417.0	5.277033954635989	5.281317639845653	787.0	11.849287189306075	14.715460002692335	17.037104963947915	17.9189440862434	20.895672706205882	22.815546812278374	26.00928541836067	26.920539668096637	28.3180907157292	44.30933475334457	
5	4721.0	0.660793370187502	1.2711660798949218	1.292235897955539	2.6923840104906276	4.23183044490796	4.296706491527658	4.311644090447018	5.807960182033092	7.374431308976206	11.213917475383099	488.0	14.378179506483868	14.732866974295316	16.15335499554994	23.002570819211172	24.560776154613585	25.20102317643679	634.0	32.62762077537662	
6	4722.0	1.4045880127863768	441.0	4.1111210510141944	4.235790360166796	395.0	4.256395434877604	4.329245383480647	5.001250842398406	5.737560253509486	12.662748419354457	14.726882801267841	14.919903465824245	552.0	19.642445161077095	28.977400464189284	29.932847414906725	35.57423804402522	37.86804719240813	46.73590743400594	
7	4726.0	0.8285326085823783	1.5669635957888062	601.0	4.170380231427778	396.0	4.174643697139672	4.625889805188912	4.965659957840856	5.00294558623952	9.246990057714697	12.304616177097984	12.63372471502705	553.0	16.1586760052839	675.0	23.46561798451299	25.50351924206985	27.505697842648846	57.70259588569752	
8	4748.0	0.07828086448745353	1.6353035203887956	2.3510858870533937	2.6532040268779937	4.0246449830577475	5.15434147490722	5.906032334051318	6.019354378353306	798.0	11.70973159690286	12.498789133711888	14.047843289892281	14.237870247179025	17.51785635264014	22.418815732769097	23.548724077147064	24.19940729864798	27.822668128222926	39.375097754765186	
9	4751.0	408.0	443.0	3.914521665091627	3.982079748016318	405.0	4.858381462198892	5.268591575055254	6.030244652863452	799.0	13.201577658613168	13.951544985971925	14.583604857539079	17.095368277719977	18.89718004569534	24.73818886508313	25.354031116588295	26.75601138382023	26.8309391497607	909.0	
10	4775.0	413.0	1.0341728078498633	1.3349196852879501	808.0	4.787186420044662	432.0	4.805330022823092	5.179490425023161	6.014191836225191	12.595132366725867	14.698113682459109	15.536886253175787	566.0	18.51444935813175	678.0	27.029856859119853	28.8393499828533	30.86728198872207	35.65222294496546	
11	4786.0	0.36583282592259536	1.036642413231192	2.6907067617011897	4.113992151544927	412.0	4.168807830634659	4.275072468146686	5.173904851251571	6.177407148976375	11.9386461124781	12.590922014525209	13.60676089577743	572.0	18.508662815620205	24.060448872742924	25.45537663831955	29.995060706058435	31.261278971649	920.0	
12	4791.0	0.8105115316500715	1.4346478429232619	2.56755056227081	3.39916509349575	4.05971891400246	4.295441233562581	4.389793621585028	5.029965126165891	9.051730246193728	10.586612751243543	504.0	14.00567272455843	15.101203189902584	16.906336145716782	681.0	21.532742272938872	22.94182714062988	24.826926088632614	33.44970505118218	
13	4793.0	0.8427067193520728	1.0599474109719509	1.6996723148333217	3.6914534505947785	4.19875284236079	4.241349296118393	4.280142242105846	5.7411227145716275	6.96751016067299	10.469461368851071	11.061743263633815	14.283748358549744	576.0	17.32697649631057	25.48410901886283	26.332021229110627	35.21931866977831	35.793916587271255	922.0	
14	4796.0	1.1201149878082788	1.406700242000941	2.8671275376872316	3.034856070753385	4.289702257264885	4.49618007739652	797.0	799.0	6.497512196126102	11.032905211068122	12.009205420988792	12.019554896993473	14.040414417252247	14.975021011552439	19.18676334775967	21.429233784494915	24.169508498112105	26.254968509770787	31.170084909403624	
15	4803.0	0.6875378059561825	1.14303446393885	1.9784920867246143	2.591602103588734	4.022831930862651	4.1714687691934245	4.752583123194288	800.0	5.385831600789327	11.00563420739233	13.409179678199814	14.039298645401836	581.0	17.715780503599127	22.045980445577733	571.0	22.69175814335101	27.51765462110161	28.281115855921033	
